"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","6.086,08","6.121,68","6.170,13","6.077,60","301,24K","-0,53%"
"27/11/2024","6.118,66","5.942,53","6.119,01","5.857,00","290,95K","2,29%"
"26/11/2024","5.981,57","6.036,64","6.093,37","5.979,39","244,40K","-1,17%"
"25/11/2024","6.052,13","6.047,94","6.076,19","5.937,91","277,65K","0,36%"
"22/11/2024","6.030,49","6.240,09","6.280,60","6.030,38","342,13K","-3,70%"
"21/11/2024","6.262,16","6.241,01","6.292,86","6.199,71","299,66K","0,18%"
"20/11/2024","6.250,80","6.116,96","6.262,08","6.105,22","299,98K","1,97%"
"19/11/2024","6.130,28","5.977,84","6.130,50","5.945,46","273,17K","2,61%"
"18/11/2024","5.974,56","6.154,51","6.180,88","5.937,09","322,67K","-2,46%"
"15/11/2024","6.125,51","6.246,34","6.331,87","6.124,66","295,19K","-2,34%"
"14/11/2024","6.272,19","6.462,01","6.472,95","6.263,31","294,80K","-3,12%"
"13/11/2024","6.474,39","6.453,86","6.512,60","6.357,56","317,49K","-0,27%"
"12/11/2024","6.491,97","6.593,82","6.616,16","6.429,35","400,72K","-1,32%"
"11/11/2024","6.579,01","6.416,17","6.580,57","6.412,58","402,44K","2,43%"
"08/11/2024","6.423,12","6.470,07","6.526,65","6.400,09","451,80K","0,30%"
"07/11/2024","6.403,92","6.238,62","6.403,92","6.229,49","408,57K","1,76%"
"06/11/2024","6.293,19","6.287,29","6.368,87","6.247,15","424,25K","0,43%"
"05/11/2024","6.266,54","6.057,21","6.279,92","6.051,46","390,14K","3,53%"
"04/11/2024","6.053,11","5.912,31","6.053,11","5.912,31","295,64K","2,07%"
"01/11/2024","5.930,23","6.100,79","6.125,41","5.912,53","409,34K","-3,05%"
"31/10/2024","6.116,66","6.041,01","6.161,56","6.004,71","386,12K","1,62%"
"30/10/2024","6.019,35","5.960,79","6.043,59","5.945,68","324,38K","0,59%"
"29/10/2024","5.983,84","6.106,19","6.113,64","5.982,53","369,33K","-1,62%"
"28/10/2024","6.082,09","5.988,72","6.082,09","5.965,00","326,72K","1,79%"
"25/10/2024","5.974,91","5.876,44","6.014,11","5.876,21","306,82K","1,93%"
"24/10/2024","5.861,63","5.871,29","5.887,45","5.817,93","264,15K","-0,71%"
"23/10/2024","5.903,58","5.871,32","5.991,59","5.856,37","333,75K","0,25%"
"22/10/2024","5.888,81","5.866,79","5.940,37","5.814,30","347,30K","0,48%"
"21/10/2024","5.860,57","5.797,00","5.954,44","5.767,79","355,06K","1,93%"
"18/10/2024","5.749,43","5.495,20","5.880,90","5.484,24","359,72K","4,43%"
"17/10/2024","5.505,61","5.563,46","5.624,79","5.504,49","276,40K","-0,34%"
"16/10/2024","5.524,25","5.425,43","5.598,83","5.424,39","248,52K","0,31%"
"15/10/2024","5.507,18","5.585,69","5.704,56","5.505,81","297,52K","-1,93%"
"14/10/2024","5.615,76","5.451,62","5.620,42","5.346,42","281,14K","3,67%"
"11/10/2024","5.416,76","5.610,95","5.616,81","5.349,32","279,99K","-4,20%"
"10/10/2024","5.654,53","5.777,90","5.881,33","5.593,98","349,63K","-1,27%"
"09/10/2024","5.727,38","6.052,67","6.105,03","5.706,05","458,09K","-7,65%"
"08/10/2024","6.201,99","6.437,11","6.437,11","5.861,32","550,59K","8,64%"
"30/09/2024","5.708,83","5.375,57","5.732,57","5.307,55","471,43K","11,14%"
"27/09/2024","5.136,44","4.950,94","5.164,54","4.944,84","290,68K","5,38%"
"26/09/2024","4.874,13","4.675,94","4.874,13","4.672,87","253,98K","4,01%"
"25/09/2024","4.686,26","4.688,39","4.799,86","4.681,85","264,24K","0,94%"
"24/09/2024","4.642,56","4.489,49","4.642,56","4.466,34","215,78K","3,87%"
"23/09/2024","4.469,64","4.462,72","4.513,97","4.446,02","12,49B","0,10%"
"20/09/2024","4.465,06","4.484,18","4.487,08","4.428,17","12,75B","-0,36%"
"19/09/2024","4.481,03","4.418,78","4.527,61","4.385,49","14,57B","1,85%"
"18/09/2024","4.399,79","4.413,90","4.425,79","4.342,21","11,36B","-0,34%"
"13/09/2024","4.414,84","4.471,98","4.478,21","4.413,78","11,68B","-1,23%"
"12/09/2024","4.469,84","4.490,52","4.542,28","4.469,62","11,87B","-0,42%"
"11/09/2024","4.488,61","4.469,01","4.500,68","4.453,20","11,40B","0,04%"
"10/09/2024","4.486,63","4.481,49","4.507,15","4.400,78","13,24B","0,25%"
"09/09/2024","4.475,62","4.490,99","4.523,37","4.459,13","11,33B","-0,73%"
"06/09/2024","4.508,73","4.588,93","4.595,67","4.506,39","12,72B","-1,69%"
"05/09/2024","4.586,15","4.554,52","4.614,75","4.554,52","12,12B","0,78%"
"04/09/2024","4.550,82","4.542,90","4.594,44","4.529,34","12,29B","-0,49%"
"03/09/2024","4.573,00","4.529,94","4.598,63","4.529,94","12,90B","0,86%"
"02/09/2024","4.533,89","4.627,18","4.635,77","4.529,83","15,59B","-2,07%"
"30/08/2024","4.629,77","4.539,93","4.690,92","4.534,43","175,83K","1,92%"
"29/08/2024","4.542,42","4.453,43","4.558,95","4.443,90","128,24K","1,59%"
"28/08/2024","4.471,16","4.449,71","4.506,30","4.437,52","106,63K","0,25%"
"27/08/2024","4.459,80","4.500,73","4.501,08","4.449,21","113,54K","-1,19%"
"26/08/2024","4.513,74","4.492,71","4.531,17","4.476,29","110,85K","0,40%"
"23/08/2024","4.495,56","4.482,65","4.510,56","4.462,76","110,21K","0,08%"
"22/08/2024","4.491,84","4.549,30","4.562,98","4.484,56","113,40K","-1,26%"
"21/08/2024","4.548,96","4.564,38","4.590,20","4.544,04","106,88K","-0,71%"
"20/08/2024","4.581,34","4.663,78","4.665,32","4.563,97","128,69K","-1,77%"
"19/08/2024","4.663,79","4.651,30","4.714,03","4.644,60","119,34K","0,13%"
"16/08/2024","4.657,77","4.696,72","4.703,03","4.654,72","120,88K","-0,73%"
"15/08/2024","4.692,02","4.639,08","4.743,61","4.620,67","129,05K","0,85%"
"14/08/2024","4.652,42","4.698,00","4.698,00","4.650,10","98,51K","-0,93%"
"13/08/2024","4.695,89","4.671,20","4.698,21","4.642,67","98,70K","0,43%"
"12/08/2024","4.675,74","4.696,36","4.707,17","4.657,33","106,34K","-0,65%"
"09/08/2024","4.706,54","4.760,13","4.789,09","4.704,95","114,10K","-0,71%"
"08/08/2024","4.740,12","4.728,33","4.776,39","4.677,47","125,44K","-0,08%"
"07/08/2024","4.743,81","4.741,65","4.772,21","4.715,53","111,31K","-0,13%"
"06/08/2024","4.749,95","4.731,20","4.766,27","4.695,64","127,10K","1,47%"
"05/08/2024","4.680,97","4.776,18","4.854,59","4.680,81","151,14K","-2,73%"
"02/08/2024","4.812,48","4.844,78","4.902,94","4.802,02","136,54K","-1,37%"
"01/08/2024","4.879,09","4.894,81","4.933,06","4.850,84","144,84K","-0,17%"
"31/07/2024","4.887,52","4.698,73","4.889,77","4.690,06","172,56K","3,93%"
"30/07/2024","4.702,53","4.674,92","4.716,17","4.637,41","112,31K","0,34%"
"29/07/2024","4.686,54","4.707,28","4.707,28","4.670,80","108,03K","-0,31%"
"26/07/2024","4.701,16","4.638,31","4.710,57","4.638,31","109,32K","1,47%"
"25/07/2024","4.633,03","4.602,63","4.678,62","4.587,72","107,31K","0,04%"
"24/07/2024","4.631,34","4.682,06","4.713,07","4.625,43","120,56K","-1,39%"
"23/07/2024","4.696,53","4.825,75","4.825,75","4.695,64","118,91K","-2,70%"
"22/07/2024","4.826,87","4.822,64","4.848,31","4.798,12","110,73K","0,06%"
"19/07/2024","4.824,09","4.788,77","4.854,71","4.778,71","111,26K","0,27%"
"18/07/2024","4.811,29","4.763,30","4.822,41","4.714,60","120,32K","0,21%"
"17/07/2024","4.801,14","4.834,44","4.842,72","4.786,39","118,94K","-0,72%"
"16/07/2024","4.835,82","4.815,74","4.845,35","4.786,47","119,52K","0,16%"
"15/07/2024","4.827,95","4.869,00","4.869,00","4.815,62","125,47K","-1,07%"
"12/07/2024","4.880,10","4.884,41","4.896,85","4.858,30","129,29K","-0,26%"
"11/07/2024","4.892,58","4.846,11","4.896,15","4.821,52","151,40K","2,40%"
"10/07/2024","4.777,84","4.783,17","4.829,21","4.768,13","138,29K","-0,35%"
"09/07/2024","4.794,81","4.689,27","4.810,32","4.645,39","147,13K","2,16%"
"08/07/2024","4.693,42","4.801,49","4.801,49","4.679,28","122,85K","-2,45%"
"05/07/2024","4.811,42","4.753,73","4.828,84","4.712,23","109,32K","0,97%"
"04/07/2024","4.764,98","4.868,55","4.883,74","4.745,91","119,93K","-2,11%"
"03/07/2024","4.867,68","4.900,67","4.906,32","4.857,78","101,81K","-0,78%"
"02/07/2024","4.906,18","4.940,70","4.951,18","4.886,70","117,60K","-0,69%"
"01/07/2024","4.940,47","4.894,56","4.954,18","4.839,75","128,42K","0,87%"
