"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","151,11","151,26","151,27","151,12","0,01K","0,05%"
"27/11/2024","151,04","150,98","150,98","150,88","0,00K","0,07%"
"26/11/2024","150,94","151,25","151,28","151,05","0,02K","-0,20%"
"25/11/2024","151,25","150,61","151,35","150,61","0,05K","0,43%"
"22/11/2024","150,60","150,72","150,98","149,99","0,11K","0,39%"
"21/11/2024","150,01","149,97","150,41","149,89","0,02K","0,03%"
"20/11/2024","149,97","149,90","149,98","149,90","0,00K","0,03%"
"19/11/2024","149,92","150,00","150,00","149,99","0,01K","0,15%"
"18/11/2024","149,69","150,15","150,15","149,49","0,01K","-0,33%"
"15/11/2024","150,18","150,10","150,10","150,10","0,00K","0,16%"
"14/11/2024","149,94","149,74","150,03","149,65","0,01K","0,13%"
"13/11/2024","149,74","149,00","149,86","149,00","0,05K","0,05%"
"12/11/2024","149,67","149,42","149,80","149,42","0,01K","-0,09%"
"11/11/2024","149,80","150,43","150,55","149,82","0,05K","-0,01%"
"08/11/2024","149,81","149,92","149,96","149,79","0,01K","-0,07%"
"07/11/2024","149,92","150,06","150,06","149,58","0,01K","0,07%"
"06/11/2024","149,81","149,72","149,92","149,66","0,01K","0,06%"
"05/11/2024","149,72","150,25","150,25","149,90","0,01K","-0,25%"
"04/11/2024","150,09","149,75","150,21","149,75","0,11K","0,37%"
"01/11/2024","149,53","148,65","149,64","148,62","0,02K","0,48%"
"31/10/2024","148,81","148,60","149,11","148,47","0,01K","0,10%"
"30/10/2024","148,66","148,70","148,70","148,43","0,01K","-0,03%"
"29/10/2024","148,70","149,16","149,16","148,70","0,00K","-0,13%"
"28/10/2024","148,89","148,47","149,04","148,47","0,01K","-0,01%"
"25/10/2024","148,91","149,29","149,35","148,40","0,01K","-0,25%"
"24/10/2024","149,29","148,76","149,43","148,76","0,01K","0,38%"
"23/10/2024","148,72","148,72","148,72","148,72","","-0,11%"
"22/10/2024","148,89","148,92","149,00","148,51","0,01K","-0,24%"
"21/10/2024","149,25","149,65","149,65","149,15","0,01K","-0,27%"
"18/10/2024","149,65","149,66","149,92","149,63","0,03K","0,12%"
"17/10/2024","149,47","149,80","149,80","149,47","0,01K","-0,05%"
"16/10/2024","149,54","149,30","149,54","149,30","0,02K","0,21%"
"15/10/2024","149,23","147,90","149,39","147,90","0,05K","0,72%"
"14/10/2024","148,16","147,60","148,51","147,60","0,02K","0,55%"
"11/10/2024","147,35","147,26","147,79","147,26","0,06K","-0,20%"
"10/10/2024","147,64","148,33","148,33","147,17","0,19K","-0,47%"
"09/10/2024","148,34","148,35","148,59","148,27","0,01K","-0,06%"
"08/10/2024","148,43","148,96","148,96","148,41","0,01K","-0,36%"
"07/10/2024","148,96","149,21","149,31","149,05","0,01K","-0,17%"
"04/10/2024","149,21","149,53","149,60","149,53","0,00K","-0,21%"
"03/10/2024","149,53","149,25","149,50","149,07","0,01K","0,01%"
"02/10/2024","149,51","149,51","149,51","149,51","","-0,41%"
"01/10/2024","150,13","150,27","150,40","150,12","0,02K","0,01%"
"30/09/2024","150,12","149,79","150,36","149,79","0,02K","0,22%"
"27/09/2024","149,79","149,70","150,37","149,70","0,10K","0,06%"
"26/09/2024","149,70","149,15","149,86","149,15","0,01K","0,42%"
"25/09/2024","149,08","149,30","149,30","149,30","0,01K","-0,15%"
"24/09/2024","149,30","148,87","149,50","148,87","0,06K","0,29%"
"23/09/2024","148,87","147,92","148,80","147,92","0,03K","0,64%"
"20/09/2024","147,92","148,20","148,20","147,88","0,05K","-0,45%"
"19/09/2024","148,59","148,90","148,90","148,64","0,00K","-0,48%"
"18/09/2024","149,31","150,02","150,04","149,40","0,01K","-0,45%"
"17/09/2024","149,98","150,02","150,07","149,50","0,02K","0,19%"
"16/09/2024","149,70","149,73","149,73","149,73","0,01K","0,01%"
"13/09/2024","149,69","149,75","149,80","149,57","0,02K","0,11%"
"12/09/2024","149,53","149,60","149,60","149,33","0,01K","-0,05%"
"11/09/2024","149,60","149,60","149,60","149,60","","0,40%"
"10/09/2024","149,00","148,97","149,00","148,96","0,07K","-0,01%"
"09/09/2024","149,02","148,60","149,02","148,60","0,01K","-0,99%"
"06/09/2024","150,51","151,35","151,35","150,38","0,02K","-0,35%"
"05/09/2024","151,04","150,50","151,68","150,50","0,06K","0,16%"
"04/09/2024","150,80","151,38","151,38","150,43","0,39K","0,33%"
"03/09/2024","150,30","149,51","150,30","149,45","0,61K","0,42%"
"02/09/2024","149,67","150,18","150,18","148,85","0,12K","-0,39%"
"30/08/2024","150,26","150,26","150,26","150,26","0,00K","-0,09%"
"29/08/2024","150,39","150,30","150,34","150,15","0,00K","-0,07%"
"28/08/2024","150,49","150,02","150,43","150,02","0,01K","0,10%"
"27/08/2024","150,34","150,51","150,56","150,08","0,01K","0,10%"
"26/08/2024","150,19","150,19","150,19","150,19","","-0,23%"
"23/08/2024","150,54","150,42","150,42","149,82","0,07K","0,07%"
"22/08/2024","150,44","150,98","150,98","150,28","0,01K","-0,35%"
"21/08/2024","150,97","151,17","151,28","150,91","0,01K","-0,20%"
"20/08/2024","151,28","151,63","151,63","151,20","0,01K","-0,03%"
"19/08/2024","151,32","151,27","151,27","151,00","0,01K","0,19%"
"16/08/2024","151,03","151,03","151,03","151,03","","0,18%"
"15/08/2024","150,76","151,30","151,30","150,88","0,00K","-0,36%"
"14/08/2024","151,30","150,41","151,29","150,41","0,04K","0,12%"
"13/08/2024","151,12","151,20","151,31","151,13","0,02K","-0,05%"
"12/08/2024","151,20","150,81","150,81","150,81","0,00K","0,08%"
"09/08/2024","151,08","151,12","151,12","150,88","0,01K","0,04%"
"08/08/2024","151,02","150,90","151,31","150,81","0,01K","0,08%"
"07/08/2024","150,90","150,76","150,92","150,44","0,03K","-0,22%"
"06/08/2024","151,24","151,89","151,89","150,62","0,03K","-0,38%"
"05/08/2024","151,81","151,86","152,43","151,71","0,01K","0,05%"
"02/08/2024","151,74","151,92","152,20","151,31","0,02K","0,44%"
"01/08/2024","151,08","151,08","151,08","151,08","","0,00%"
"31/07/2024","151,08","150,39","151,11","150,39","0,03K","0,20%"
"30/07/2024","150,78","150,76","150,78","150,19","0,10K","0,26%"
"29/07/2024","150,39","149,41","150,18","149,37","0,08K","0,71%"
"26/07/2024","149,33","149,35","149,43","149,03","0,01K","-0,01%"
"25/07/2024","149,35","149,35","149,40","149,35","0,02K","0,27%"
"24/07/2024","148,95","149,15","149,15","149,15","0,01K","-0,05%"
"23/07/2024","149,02","149,23","149,23","148,57","0,02K","0,17%"
"22/07/2024","148,76","148,76","148,76","148,76","","0,06%"
"19/07/2024","148,67","148,67","148,67","148,67","","-0,15%"
"18/07/2024","148,90","149,19","149,19","148,67","0,01K","-0,19%"
"17/07/2024","149,19","149,33","149,33","149,33","0,00K","-0,09%"
"16/07/2024","149,33","149,33","149,33","149,33","","0,19%"
"15/07/2024","149,05","149,05","149,05","149,05","","0,11%"
"12/07/2024","148,89","148,89","148,89","148,89","","-0,03%"
"11/07/2024","148,94","148,95","149,33","148,95","0,01K","0,26%"
"10/07/2024","148,55","148,64","148,81","148,45","0,01K","-0,08%"
"09/07/2024","148,67","149,03","149,03","148,05","0,02K","-0,21%"
"08/07/2024","148,99","148,79","148,79","148,79","0,00K","0,13%"
"05/07/2024","148,79","148,50","148,79","148,45","","0,31%"
"04/07/2024","148,33","148,50","148,45","148,45","","-0,15%"
"03/07/2024","148,55","148,50","148,68","148,45","0,02K","0,12%"
"02/07/2024","148,37","148,00","149,17","148,00","0,03K","-0,26%"
"01/07/2024","148,75","149,47","149,47","148,82","0,05K","-0,31%"
"28/06/2024","149,22","149,10","149,30","149,03","0,01K","0,25%"
"27/06/2024","148,85","148,85","149,08","148,85","0,00K","0,00%"
"26/06/2024","148,85","148,96","149,10","148,79","0,05K","-0,01%"
"25/06/2024","148,87","148,31","149,03","148,27","0,04K","0,60%"
"24/06/2024","147,98","147,88","147,88","147,88","0,00K","0,07%"
"21/06/2024","147,88","148,00","148,25","147,99","0,01K","0,06%"
"20/06/2024","147,79","147,48","148,00","147,48","0,02K","0,21%"
"19/06/2024","147,48","147,65","147,65","147,33","0,01K","-0,11%"
"18/06/2024","147,64","147,62","147,70","147,62","0,00K","0,01%"
"17/06/2024","147,62","147,50","147,70","147,13","0,03K","0,12%"
"14/06/2024","147,44","147,00","147,69","147,00","0,02K","0,35%"
"13/06/2024","146,93","146,80","146,98","146,59","0,02K","0,23%"
"12/06/2024","146,59","146,14","146,40","146,14","0,02K","0,70%"
"11/06/2024","145,57","145,30","145,45","145,30","0,01K","0,19%"
"10/06/2024","145,30","146,28","146,28","145,91","0,01K","-0,67%"
"07/06/2024","146,28","146,24","146,24","145,38","0,00K","-0,51%"
"06/06/2024","147,03","147,10","147,10","146,42","0,02K","-0,15%"
"05/06/2024","147,25","146,88","147,45","146,88","0,14K","0,28%"
"04/06/2024","146,84","146,73","147,20","146,60","0,66K","0,39%"
"03/06/2024","146,27","145,58","146,46","145,58","0,31K","0,17%"
"31/05/2024","146,02","145,50","146,16","145,50","0,04K","0,08%"
"30/05/2024","145,91","146,80","147,13","145,37","0,09K","-0,65%"
"29/05/2024","146,87","147,40","147,44","147,01","0,01K","-0,46%"
"28/05/2024","147,55","147,77","148,04","147,71","0,05K","-0,26%"
"27/05/2024","147,94","147,90","147,95","147,84","0,01K","-0,11%"
"24/05/2024","148,11","148,08","148,27","147,98","0,02K","0,09%"
"23/05/2024","147,97","148,32","148,32","147,90","0,27K","-0,38%"
"22/05/2024","148,53","148,41","148,48","148,40","0,01K","-0,13%"
"21/05/2024","148,72","148,41","148,68","148,41","0,01K","0,21%"
"20/05/2024","148,41","148,48","148,58","148,58","","0,00%"
"17/05/2024","148,41","148,48","148,86","148,48","0,01K","-0,33%"
"16/05/2024","148,90","149,01","149,25","148,71","0,01K","-0,07%"
"15/05/2024","149,01","148,30","149,00","148,30","0,03K","0,76%"
"14/05/2024","147,89","147,82","147,92","147,80","0,01K","0,05%"
"13/05/2024","147,82","148,02","148,06","147,76","0,04K","-0,14%"
"10/05/2024","148,03","148,90","148,90","146,65","0,09K","-0,70%"
"09/05/2024","149,07","149,98","149,07","149,07","","0,00%"
"08/05/2024","149,07","149,98","149,98","149,08","0,01K","-0,51%"
"07/05/2024","149,84","149,73","149,90","149,65","0,01K","0,07%"
"06/05/2024","149,73","149,95","149,95","149,40","0,04K","-0,15%"
"03/05/2024","149,96","149,40","150,09","149,16","0,02K","0,71%"
"02/05/2024","148,91","149,34","149,66","148,87","0,04K","-0,20%"
"30/04/2024","149,21","149,70","149,70","149,20","0,02K","-0,25%"
"29/04/2024","149,58","149,02","149,60","149,02","0,02K","0,38%"
"26/04/2024","149,02","148,35","149,04","148,35","0,02K","0,45%"
"25/04/2024","148,35","148,44","148,50","148,30","0,01K","-0,06%"
"24/04/2024","148,44","148,38","148,51","148,38","0,01K","-0,24%"
"23/04/2024","148,80","148,67","148,79","148,67","0,02K","0,12%"
"22/04/2024","148,62","148,89","148,89","148,31","0,05K","-0,18%"
