"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/11/2024","84,51","82,64","85,21","82,39","5,48M","6,37%"
"26/11/2024","79,45","80,52","82,89","79,17","7,69M","-4,24%"
"25/11/2024","82,97","85,05","85,18","82,43","8,00M","-4,34%"
"22/11/2024","86,73","85,46","87,31","84,97","7,21M","0,99%"
"21/11/2024","85,88","85,15","86,70","83,57","8,73M","4,05%"
"20/11/2024","82,54","82,76","83,11","81,49","7,03M","1,96%"
"19/11/2024","80,95","80,10","82,37","79,73","7,25M","1,04%"
"18/11/2024","80,12","79,09","81,06","78,41","9,52M","0,07%"
"15/11/2024","80,06","78,10","80,10","76,69","6,50M","4,79%"
"14/11/2024","76,40","79,88","80,31","76,34","7,74M","-2,65%"
"13/11/2024","78,48","78,67","81,79","78,11","14,75M","0,13%"
"12/11/2024","78,38","75,31","78,70","74,53","9,00M","2,94%"
"11/11/2024","76,14","71,64","76,59","71,43","14,14M","13,34%"
"08/11/2024","67,18","66,74","67,67","66,23","5,40M","0,30%"
"07/11/2024","66,98","65,57","67,31","65,21","6,93M","0,42%"
"06/11/2024","66,70","64,98","66,98","64,29","12,65M","9,96%"
"05/11/2024","60,66","60,56","61,60","60,06","6,39M","3,22%"
"04/11/2024","58,77","59,94","60,08","58,64","5,36M","-2,81%"
"01/11/2024","60,47","61,30","62,62","60,05","8,11M","-0,98%"
"31/10/2024","61,07","62,89","62,96","61,01","7,30M","-2,74%"
"30/10/2024","62,79","62,79","63,39","62,42","4,74M","-1,04%"
"29/10/2024","63,45","62,29","64,43","62,01","8,74M","4,14%"
"28/10/2024","60,93","60,28","61,15","59,82","5,21M","4,35%"
"25/10/2024","58,39","59,47","60,16","57,59","5,17M","-2,23%"
"24/10/2024","59,72","59,08","59,72","58,82","2,64M","2,84%"
"23/10/2024","58,07","58,12","58,46","56,96","3,54M","-1,54%"
"22/10/2024","58,98","58,67","59,19","58,21","2,83M","-0,43%"
"21/10/2024","59,24","59,39","59,39","58,39","4,62M","-1,32%"
"18/10/2024","60,03","59,33","60,42","59,23","3,85M","2,77%"
"17/10/2024","58,41","58,62","59,19","58,26","2,71M","-1,40%"
"16/10/2024","59,24","59,37","59,77","58,73","3,52M","1,06%"
"15/10/2024","58,62","57,66","59,51","56,66","6,52M","1,63%"
"14/10/2024","57,68","56,63","58,05","56,55","5,66M","4,44%"
"11/10/2024","55,23","53,67","55,52","53,67","6,38M","5,91%"
"10/10/2024","52,15","53,39","53,40","51,42","3,31M","-2,12%"
"09/10/2024","53,28","54,12","54,54","53,10","2,47M","-2,06%"
"08/10/2024","54,40","54,75","55,28","54,03","2,87M","-1,84%"
"07/10/2024","55,42","55,19","56,41","54,88","3,38M","1,58%"
"04/10/2024","54,56","53,80","54,67","53,13","2,71M","2,27%"
"03/10/2024","53,35","52,87","53,38","52,35","3,22M","1,39%"
"02/10/2024","52,62","53,24","54,53","52,44","4,41M","-2,52%"
"01/10/2024","53,98","55,41","55,47","53,30","8,09M","-2,79%"
"30/09/2024","55,53","55,95","56,05","55,09","3,74M","-3,31%"
"27/09/2024","57,43","57,47","58,23","57,18","4,92M","1,45%"
"26/09/2024","56,61","56,32","57,64","56,10","6,35M","2,46%"
"25/09/2024","55,25","55,58","55,98","55,05","2,12M","-1,80%"
"24/09/2024","56,26","55,51","56,33","54,84","3,01M","1,59%"
"23/09/2024","55,38","55,38","55,81","55,13","2,21M","0,79%"
"20/09/2024","54,94","55,09","55,58","54,54","2,75M","-0,70%"
"19/09/2024","55,33","55,36","55,90","54,81","4,10M","5,43%"
"18/09/2024","52,48","52,39","53,64","51,75","4,69M","0,11%"
"17/09/2024","52,42","51,90","53,70","51,49","6,63M","3,45%"
"16/09/2024","50,67","51,17","51,21","50,25","2,72M","-3,14%"
"13/09/2024","52,31","50,51","52,55","50,45","4,36M","2,37%"
"12/09/2024","51,10","50,50","51,24","50,13","2,37M","1,45%"
"11/09/2024","50,37","49,70","50,74","48,56","5,10M","-0,65%"
"10/09/2024","50,70","49,76","50,78","49,40","2,14M","1,46%"
"09/09/2024","49,97","48,42","50,06","47,90","7,47M","6,91%"
"06/09/2024","46,74","49,62","49,74","46,49","11,68M","-4,59%"
"05/09/2024","48,99","49,54","50,05","48,72","6,32M","-3,49%"
"04/09/2024","50,76","49,38","51,18","49,06","6,76M","0,12%"
"03/09/2024","50,70","51,69","51,69","50,24","7,61M","-1,03%"
"30/08/2024","51,23","52,10","52,32","50,45","7,09M","-1,08%"
"29/08/2024","51,79","52,65","53,49","51,48","7,49M","0,62%"
"28/08/2024","51,47","52,36","52,49","50,57","9,60M","-5,26%"
"27/08/2024","54,33","54,63","54,64","53,73","4,51M","-1,95%"
"26/08/2024","55,41","55,87","55,91","55,16","2,96M","-0,57%"
"23/08/2024","55,73","53,47","55,92","53,19","9,30M","5,67%"
"22/08/2024","52,74","53,21","53,31","52,56","2,35M","-2,12%"
"21/08/2024","53,88","52,04","53,93","51,48","4,82M","3,46%"
"20/08/2024","52,08","53,00","53,37","51,20","4,14M","0,93%"
"19/08/2024","51,60","51,38","51,89","50,81","2,62M","-1,23%"
"16/08/2024","52,24","51,22","52,39","50,44","5,89M","4,73%"
"15/08/2024","49,88","51,72","52,37","49,58","4,82M","-3,18%"
"14/08/2024","51,52","53,17","53,32","51,31","3,36M","-3,23%"
"13/08/2024","53,24","51,57","53,91","51,51","3,25M","3,06%"
"12/08/2024","51,66","52,07","53,11","50,59","3,61M","-2,71%"
"09/08/2024","53,10","52,83","53,50","52,11","3,28M","2,10%"
"08/08/2024","52,01","50,52","52,40","49,60","7,45M","8,63%"
"07/08/2024","47,88","50,15","50,33","47,80","5,75M","-3,62%"
"06/08/2024","49,68","48,25","49,93","47,62","7,38M","6,15%"
"05/08/2024","46,80","43,53","48,60","43,34","18,38M","-14,41%"
"02/08/2024","54,68","56,69","57,26","54,48","6,37M","-1,21%"
"01/08/2024","55,35","56,51","56,74","54,37","9,59M","-3,00%"
"31/07/2024","57,06","58,08","58,46","56,76","3,99M","-0,99%"
"30/07/2024","57,63","58,29","58,54","57,26","4,34M","-2,07%"
"29/07/2024","58,85","60,97","61,00","58,07","6,51M","-1,13%"
"26/07/2024","59,52","59,00","59,68","58,52","7,15M","5,27%"
