"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Variation %"
"27/11/2024","36,43","35,45","36,43","35,45","2,74%"
"26/11/2024","35,46","33,96","35,46","33,96","4,48%"
"25/11/2024","33,94","33,95","33,95","33,94","-0,06%"
"22/11/2024","33,96","31,97","33,96","31,97","6,22%"
"21/11/2024","31,97","31,97","31,97","31,97","0,00%"
"20/11/2024","31,97","31,97","31,97","31,97","1,59%"
"19/11/2024","31,47","31,47","31,96","31,47","0,00%"
"18/11/2024","31,47","31,47","31,47","31,47","0,00%"
"15/11/2024","31,47","31,47","31,47","31,46","-0,03%"
"14/11/2024","31,48","31,48","31,48","31,48","0,03%"
"13/11/2024","31,47","31,47","31,47","31,46","-0,03%"
"12/11/2024","31,48","31,48","31,48","31,48","-1,53%"
"11/11/2024","31,97","31,97","31,97","31,47","0,00%"
"08/11/2024","31,97","31,97","31,97","31,97","0,00%"
"07/11/2024","31,97","31,97","31,97","31,95","1,56%"
"06/11/2024","31,48","31,48","31,99","31,48","0,03%"
"05/11/2024","31,47","31,47","31,47","31,47","0,03%"
"04/11/2024","31,46","31,46","31,46","31,46","-0,03%"
"01/11/2024","31,47","31,47","31,48","31,47","-3,08%"
"31/10/2024","32,47","32,47","32,47","31,47","0,03%"
"30/10/2024","32,46","32,46","32,48","32,46","-0,03%"
"29/10/2024","32,47","32,47","32,47","32,46","0,00%"
"28/10/2024","32,47","32,47","32,47","32,47","0,03%"
"25/10/2024","32,46","32,46","32,47","32,46","0,00%"
"24/10/2024","32,46","32,46","32,46","32,46","-0,03%"
"23/10/2024","32,47","32,47","32,47","32,47","0,00%"
"22/10/2024","32,47","32,47","32,47","32,47","3,18%"
"21/10/2024","31,47","31,47","32,48","31,47","0,00%"
"18/10/2024","31,47","31,47","31,47","31,47","-3,08%"
"17/10/2024","32,47","32,47","32,47","31,48","0,00%"
"16/10/2024","32,47","32,47","32,47","32,46","0,00%"
"15/10/2024","32,47","32,47","32,47","32,46","-4,39%"
"14/10/2024","33,96","33,96","33,96","32,47","0,00%"
"11/10/2024","33,96","33,96","33,96","33,95","0,03%"
"10/10/2024","33,95","33,96","33,96","33,95","-2,82%"
"09/10/2024","34,94","33,95","34,94","33,95","2,90%"
"08/10/2024","33,95","33,95","33,96","33,95","-0,03%"
"07/10/2024","33,96","33,96","33,97","33,96","-1,45%"
"04/10/2024","34,46","34,46","34,46","34,00","0,00%"
"03/10/2024","34,46","34,46","36,18","34,46","0,00%"
"02/10/2024","34,46","34,46","34,46","34,46","0,00%"
"01/10/2024","34,46","34,46","34,46","34,44","0,00%"
"30/09/2024","34,46","34,46","34,46","33,02","0,00%"
"27/09/2024","34,46","34,46","34,46","34,44","0,03%"
"26/09/2024","34,45","34,45","34,46","34,45","-0,03%"
"25/09/2024","34,46","34,46","34,46","34,46","9,50%"
"24/09/2024","31,47","31,47","34,44","31,47","0,00%"
"23/09/2024","31,47","31,47","31,47","30,52","4,14%"
"20/09/2024","30,22","30,22","31,47","30,22","7,97%"
"19/09/2024","27,99","27,99","27,99","27,98","0,00%"
"18/09/2024","27,99","27,99","27,99","26,90","0,00%"
"17/09/2024","27,99","27,99","27,99","27,99","0,04%"
"16/09/2024","27,98","27,98","27,98","27,98","-3,45%"
"13/09/2024","28,98","28,98","28,98","27,98","-3,34%"
"12/09/2024","29,98","29,98","29,98","28,98","0,03%"
"11/09/2024","29,97","29,97","29,98","29,97","-0,03%"
"10/09/2024","29,98","29,98","29,98","29,97","0,00%"
"09/09/2024","29,98","29,98","29,98","29,98","0,00%"
"06/09/2024","29,98","29,98","29,98","29,97","0,00%"
"05/09/2024","29,98","29,98","29,98","29,98","-3,20%"
"04/09/2024","30,97","30,97","30,97","29,97","-4,79%"
"03/09/2024","32,53","30,97","30,97","32,53","5,03%"
"02/09/2024","30,97","30,97","30,98","30,97","-1,59%"
"30/08/2024","31,47","31,47","32,48","30,98","-3,05%"
"29/08/2024","32,46","32,46","32,46","31,47","-0,03%"
"28/08/2024","32,47","32,47","32,47","32,47","0,00%"
"27/08/2024","32,47","32,47","32,47","32,46","0,03%"
"26/08/2024","32,46","32,46","32,47","32,46","0,03%"
"23/08/2024","32,45","32,46","32,46","32,45","-0,06%"
"22/08/2024","32,47","32,47","32,48","32,47","0,00%"
"21/08/2024","32,47","32,47","32,47","32,46","0,00%"
"20/08/2024","32,47","32,47","32,47","32,46","0,00%"
"19/08/2024","32,47","32,47","32,47","32,47","0,03%"
"16/08/2024","32,46","32,46","32,46","32,46","-4,42%"
"15/08/2024","33,96","33,96","33,96","32,49","0,00%"
"14/08/2024","33,96","33,96","33,96","33,96","0,00%"
"13/08/2024","33,96","33,96","33,96","33,95","0,00%"
"12/08/2024","33,96","33,96","33,96","33,95","-2,83%"
"09/08/2024","34,95","34,95","34,95","33,96","0,03%"
"08/08/2024","34,94","34,94","34,97","34,94","-0,06%"
"07/08/2024","34,96","34,96","34,97","34,96","-1,44%"
"06/08/2024","35,47","35,47","35,47","34,98","7,62%"
"05/08/2024","32,96","32,96","35,45","32,96","6,43%"
"02/08/2024","30,97","30,97","32,92","30,97","10,65%"
