"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","13.382,14","13.566,33","13.566,33","13.333,71","0,00K","-1,53%"
"27/11/2024","13.590,09","13.259,50","13.651,00","13.158,74","0,00K","2,64%"
"26/11/2024","13.240,89","13.153,94","13.354,48","13.153,94","0,00K","-0,03%"
"25/11/2024","13.245,05","13.359,46","13.401,69","13.189,50","0,00K","-0,54%"
"22/11/2024","13.316,61","13.630,39","13.671,85","13.249,38","0,00K","-2,22%"
"21/11/2024","13.618,90","13.670,44","13.750,11","13.586,02","0,00K","-0,74%"
"20/11/2024","13.720,73","13.659,66","13.765,51","13.624,53","0,00K","0,15%"
"19/11/2024","13.700,66","13.720,11","13.769,02","13.590,80","0,00K","0,45%"
"18/11/2024","13.639,48","13.610,35","13.777,90","13.525,36","0,00K","1,20%"
"15/11/2024","13.478,38","13.499,65","13.619,10","13.388,68","","0,24%"
"14/11/2024","13.446,07","13.593,68","13.775,23","13.400,01","","-2,21%"
"13/11/2024","13.750,41","13.615,10","13.764,03","13.552,76","","-0,08%"
"12/11/2024","13.761,95","14.124,49","14.293,74","13.704,11","","-3,05%"
"11/11/2024","14.195,34","14.059,12","14.274,25","13.975,55","","-1,60%"
"08/11/2024","14.426,10","14.785,04","14.918,22","14.406,15","","-1,37%"
"07/11/2024","14.625,97","14.163,74","14.647,57","14.140,03","","2,43%"
"06/11/2024","14.279,46","14.483,39","14.546,66","14.165,04","","-2,51%"
"05/11/2024","14.646,72","14.152,33","14.646,72","14.152,33","","2,54%"
"04/11/2024","14.284,20","14.292,41","14.327,34","14.174,09","","0,51%"
"01/11/2024","14.212,21","14.150,52","14.346,15","14.086,11","","1,22%"
"31/10/2024","14.040,50","14.140,69","14.246,96","14.040,50","","-0,50%"
"30/10/2024","14.111,08","14.265,44","14.345,51","14.026,55","","-1,86%"
"29/10/2024","14.378,25","14.411,16","14.542,31","14.290,43","","0,66%"
"28/10/2024","14.283,94","14.290,16","14.350,11","14.148,37","","0,04%"
"25/10/2024","14.277,59","14.258,60","14.418,15","14.248,74","","0,30%"
"24/10/2024","14.235,10","14.290,52","14.394,54","14.202,11","","-1,60%"
"23/10/2024","14.467,29","14.223,19","14.587,80","14.182,29","","1,76%"
"22/10/2024","14.216,95","14.186,72","14.335,41","14.119,99","","0,19%"
"21/10/2024","14.190,33","14.399,16","14.486,58","14.135,72","","-1,90%"
"18/10/2024","14.464,53","13.875,35","14.601,88","13.833,55","","4,21%"
"17/10/2024","13.879,70","14.193,53","14.451,96","13.788,31","","-1,27%"
"16/10/2024","14.058,54","13.953,83","14.251,24","13.920,51","","-0,17%"
