"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","134,37","133,91","134,49","133,88","812,08K","0,30%"
"27/11/2024","133,97","133,87","134,33","133,75","1,37M","0,30%"
"26/11/2024","133,57","133,57","133,99","133,42","1,05M","-0,03%"
"25/11/2024","133,61","133,31","133,70","133,06","1,09M","0,38%"
"22/11/2024","133,11","132,39","133,32","132,14","1,25M","0,48%"
"21/11/2024","132,48","131,96","132,71","131,90","1,16M","0,30%"
"20/11/2024","132,08","132,18","132,28","131,70","987,91K","-0,19%"
"19/11/2024","132,33","132,06","132,99","132,06","1,27M","0,30%"
"18/11/2024","131,94","132,28","132,40","131,51","823,05K","-0,20%"
"15/11/2024","132,20","132,08","132,46","131,79","937,48K","0,05%"
"14/11/2024","132,14","131,47","132,37","131,28","1,08M","0,24%"
"13/11/2024","131,83","131,73","132,11","131,41","1,17M","-0,35%"
"12/11/2024","132,29","132,51","132,74","131,68","1,01M","-0,17%"
"11/11/2024","132,51","132,13","132,61","131,97","696,11K","0,33%"
"08/11/2024","132,08","131,46","132,33","131,39","996,99K","0,50%"
"07/11/2024","131,42","131,53","131,69","130,68","1,60M","-0,24%"
"06/11/2024","131,73","131,85","132,22","130,58","1,62M","0,21%"
"05/11/2024","131,45","131,74","131,86","131,24","1,01M","-0,27%"
"04/11/2024","131,80","131,83","131,92","131,26","934,20K","0,12%"
"01/11/2024","131,64","131,66","132,19","131,45","1,12M","-0,12%"
"31/10/2024","131,80","131,49","131,93","131,15","1,86M","-0,13%"
"30/10/2024","131,97","132,87","133,02","131,49","1,63M","-0,41%"
"29/10/2024","132,51","133,17","133,25","132,44","1,09M","-0,38%"
"28/10/2024","133,02","132,64","133,41","132,37","957,10K","-0,06%"
"25/10/2024","133,10","133,28","133,49","132,77","942,39K","-0,31%"
"24/10/2024","133,51","132,75","133,54","132,67","1,23M","0,60%"
"23/10/2024","132,71","132,88","132,95","132,59","1,20M","-0,09%"
"22/10/2024","132,83","133,07","133,14","132,58","1,37M","-0,25%"
"21/10/2024","133,16","134,05","134,18","133,06","1,15M","-0,77%"
"18/10/2024","134,19","134,01","134,25","133,67","895,83K","0,26%"
"17/10/2024","133,84","134,08","134,17","133,72","1,19M","-0,27%"
"16/10/2024","134,20","133,76","134,25","133,68","926,45K","0,34%"
"15/10/2024","133,75","133,33","133,79","133,30","983,58K","0,46%"
"14/10/2024","133,14","133,20","133,41","133,00","608,42K","-0,01%"
"11/10/2024","133,15","133,49","133,57","132,92","895,99K","-0,11%"
"10/10/2024","133,29","133,19","133,50","132,75","1,04M","-0,09%"
"09/10/2024","133,41","133,59","133,76","133,17","852,98K","-0,03%"
"08/10/2024","133,45","133,60","133,80","133,33","992,13K","0,01%"
"07/10/2024","133,44","133,86","134,03","133,40","1,03M","-0,36%"
"04/10/2024","133,92","134,59","134,63","133,64","1,23M","-0,65%"
"03/10/2024","134,80","135,11","135,24","134,46","1,19M","-0,25%"
"02/10/2024","135,14","135,87","135,92","135,04","1,13M","-0,54%"
"01/10/2024","135,88","134,98","136,20","134,91","1,48M","0,71%"
"30/09/2024","134,92","134,99","135,13","134,45","1,27M","0,08%"
"27/09/2024","134,81","134,54","135,19","134,31","1,19M","0,24%"
"26/09/2024","134,49","134,48","135,03","134,39","1,21M","0,04%"
"25/09/2024","134,44","134,86","134,98","134,34","1,03M","-0,38%"
"24/09/2024","134,95","134,75","135,01","134,23","1,28M","0,33%"
"23/09/2024","134,50","134,16","134,82","134,02","1,21M","0,43%"
"20/09/2024","133,93","134,29","134,53","133,92","933,19K","-0,29%"
"19/09/2024","134,32","134,13","134,40","133,99","1,09M","0,00%"
"18/09/2024","134,32","134,75","134,86","134,12","941,30K","-0,36%"
"17/09/2024","134,81","134,99","135,39","134,69","941,94K","-0,17%"
"16/09/2024","135,04","134,80","135,09","134,63","768,42K","0,24%"
"13/09/2024","134,72","134,85","135,19","134,62","754,20K","-0,01%"
"12/09/2024","134,73","135,12","135,35","134,57","1,11M","-0,47%"
"11/09/2024","135,36","134,89","135,49","134,67","1,20M","0,44%"
"10/09/2024","134,77","134,57","135,04","134,37","998,39K","0,16%"
"09/09/2024","134,56","134,10","134,62","133,79","843,30K","-0,38%"
"06/09/2024","135,08","134,67","135,11","134,64","9,32K","0,42%"
"05/09/2024","134,52","134,61","134,77","134,32","150,82K","-0,01%"
"04/09/2024","134,54","134,03","134,71","134,03","993,28K","0,46%"
"03/09/2024","133,93","133,33","134,13","133,21","1,72M","0,49%"
"02/09/2024","133,28","133,58","133,62","133,16","1,28M","-0,47%"
"30/08/2024","133,91","133,94","134,19","133,50","1,11M","0,02%"
"29/08/2024","133,88","134,01","134,49","133,79","1,27M","-0,16%"
"28/08/2024","134,09","133,99","134,39","133,89","773,88K","0,16%"
"27/08/2024","133,87","134,26","134,28","133,66","885,26K","-0,34%"
"26/08/2024","134,32","134,62","134,70","134,04","600,53K","-0,17%"
"23/08/2024","134,55","134,26","134,59","134,07","643,02K","0,22%"
"22/08/2024","134,25","134,76","135,08","134,11","788,64K","-0,40%"
"21/08/2024","134,79","134,75","134,99","134,47","787,76K","0,12%"
"20/08/2024","134,63","134,19","134,68","134,09","701,61K","0,36%"
"19/08/2024","134,15","134,14","134,62","134,09","505,87K","-0,08%"
"16/08/2024","134,26","134,23","134,65","134,14","542,25K","0,10%"
"15/08/2024","134,13","134,89","135,07","134,08","603,65K","-0,71%"
"14/08/2024","135,09","134,93","135,17","134,56","690,67K","0,02%"
"13/08/2024","135,06","134,58","135,08","134,47","617,07K","0,48%"
"12/08/2024","134,41","134,45","134,69","134,27","493,49K","-0,13%"
"09/08/2024","134,58","134,27","134,70","134,18","513,28K","0,34%"
"08/08/2024","134,12","134,36","134,72","133,97","772,32K","0,00%"
"07/08/2024","134,12","134,71","134,84","133,94","974,93K","-0,67%"
"06/08/2024","135,03","134,74","135,59","134,45","1,11M","-0,12%"
"05/08/2024","135,19","135,49","136,28","134,88","1,44M","-0,02%"
"02/08/2024","135,22","134,39","135,50","134,39","1,40M","0,57%"
"01/08/2024","134,46","133,97","134,54","133,77","1,05M","0,55%"
"31/07/2024","133,73","133,41","134,05","133,36","1,05M","0,26%"
"30/07/2024","133,38","133,19","133,60","133,06","730,87K","0,15%"
"29/07/2024","133,18","132,77","133,36","132,72","718,03K","0,35%"
"26/07/2024","132,72","132,43","132,88","132,08","821,21K","0,06%"
"25/07/2024","132,64","131,96","132,92","131,95","1,10M","0,23%"
"24/07/2024","132,34","132,13","132,66","131,91","963,07K","0,03%"
"23/07/2024","132,30","131,81","132,39","131,71","727,18K","0,28%"
"22/07/2024","131,93","132,12","132,29","131,62","583,37K","-0,13%"
"19/07/2024","132,10","132,32","132,54","131,93","522,55K","-0,40%"
"18/07/2024","132,63","132,50","132,73","132,15","830,81K","0,11%"
"17/07/2024","132,49","132,49","132,66","132,25","737,90K","0,08%"
"16/07/2024","132,38","131,88","132,57","131,88","775,39K","0,32%"
"15/07/2024","131,96","131,56","132,10","131,39","755,16K","0,17%"
"12/07/2024","131,73","131,69","131,86","131,36","658,50K","-0,25%"
"11/07/2024","132,06","131,33","132,08","131,05","905,45K","0,58%"
"10/07/2024","131,30","130,98","131,55","130,95","759,53K","0,34%"
"09/07/2024","130,86","131,26","131,31","130,78","851,75K","-0,32%"
"08/07/2024","131,28","131,12","131,39","130,74","773,65K","0,14%"
"05/07/2024","131,09","130,61","131,14","130,44","785,97K","0,40%"
"04/07/2024","130,57","130,79","130,85","130,52","499,05K","-0,29%"
"03/07/2024","130,95","130,53","131,02","130,23","1,05M","0,44%"
"02/07/2024","130,38","130,47","130,76","130,28","935,07K","-0,02%"
"01/07/2024","130,41","131,15","131,25","130,32","1,10M","-0,92%"
"28/06/2024","131,62","132,04","132,24","131,45","1,19M","-0,32%"
"27/06/2024","132,04","131,91","132,19","131,68","905,08K","0,02%"
"26/06/2024","132,02","132,56","132,56","131,97","824,42K","-0,37%"
"25/06/2024","132,51","132,55","132,80","132,37","774,66K","0,11%"
"24/06/2024","132,37","132,62","132,72","132,22","874,35K","-0,12%"
"21/06/2024","132,53","132,35","133,06","132,30","987,74K","0,22%"
"20/06/2024","132,24","132,46","132,59","132,02","894,37K","-0,23%"
"19/06/2024","132,55","132,62","132,94","132,31","703,74K","-0,04%"
"18/06/2024","132,60","132,49","132,79","132,16","953,79K","0,13%"
"17/06/2024","132,43","132,82","133,07","132,18","1,09M","-0,48%"
"14/06/2024","133,07","131,78","133,21","131,61","1,79M","1,32%"
"13/06/2024","131,33","130,97","131,97","130,80","1,21M","0,18%"
"12/06/2024","131,10","130,23","131,26","130,21","1,28M","0,72%"
"11/06/2024","130,16","129,69","130,36","129,60","1,64M","0,39%"
"10/06/2024","129,65","130,11","130,27","129,52","1,02M","-0,44%"
"07/06/2024","130,22","131,01","131,05","130,05","786,69K","-0,22%"
"06/06/2024","130,51","130,62","130,63","130,40","17,19K","-0,15%"
"05/06/2024","130,70","130,36","130,80","130,19","128,51K","0,23%"
"04/06/2024","130,40","130,02","130,78","129,81","1,44M","0,33%"
"03/06/2024","129,97","129,30","130,16","129,19","2,00M","0,49%"
"31/05/2024","129,34","129,28","129,44","128,73","1,64M","0,12%"
"30/05/2024","129,18","129,13","129,31","128,84","1,08M","0,09%"
"29/05/2024","129,06","129,69","129,82","128,75","1,29M","-0,74%"
"28/05/2024","130,02","130,27","130,46","129,63","889,59K","-0,26%"
"27/05/2024","130,36","130,11","130,52","129,83","447,63K","0,22%"
"24/05/2024","130,08","130,02","130,13","129,63","825,54K","0,26%"
"23/05/2024","129,74","130,46","130,76","129,71","1,22M","-0,62%"
"22/05/2024","130,55","130,73","130,86","130,30","1,04M","-0,22%"
"21/05/2024","130,84","130,58","131,01","130,53","670,69K","0,25%"
"20/05/2024","130,52","130,72","130,84","130,47","451,70K","-0,23%"
"17/05/2024","130,82","131,35","131,45","130,65","698,56K","-0,58%"
"16/05/2024","131,58","131,87","132,11","131,28","850,26K","-0,10%"
"15/05/2024","131,71","130,61","131,93","130,60","1,12M","0,92%"
"14/05/2024","130,51","130,89","131,13","130,24","1,03M","-0,30%"
