"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","126,23","125,49","126,38","125,45","234,57K","0,54%"
"27/11/2024","125,55","125,29","125,67","125,20","298,17K","0,09%"
"26/11/2024","125,44","125,54","125,78","125,26","279,65K","-0,13%"
"25/11/2024","125,60","125,49","125,72","125,01","206,41K","0,26%"
"22/11/2024","125,28","124,76","125,62","124,53","220,36K","0,34%"
"21/11/2024","124,85","124,59","125,03","124,42","280,89K","0,04%"
"20/11/2024","124,80","124,99","125,04","124,41","212,92K","-0,30%"
"19/11/2024","125,17","125,01","125,71","124,87","247,12K","0,22%"
"18/11/2024","124,89","125,14","125,24","124,43","179,60K","-0,19%"
"15/11/2024","125,13","124,88","125,29","124,72","198,26K","0,16%"
"14/11/2024","124,93","124,27","125,17","124,09","179,95K","0,37%"
"13/11/2024","124,47","124,18","124,72","124,03","174,56K","-0,23%"
"12/11/2024","124,76","125,11","125,30","124,17","179,81K","-0,30%"
"11/11/2024","125,14","124,83","125,31","124,68","116,65K","0,32%"
"08/11/2024","124,74","124,14","125,04","124,06","159,42K","0,53%"
"07/11/2024","124,08","124,10","124,27","123,32","371,89K","-0,18%"
"06/11/2024","124,30","124,78","125,00","123,44","226,45K","-0,02%"
"05/11/2024","124,32","124,44","124,78","124,06","178,62K","-0,19%"
"04/11/2024","124,56","124,50","124,67","124,12","154,96K","0,14%"
"01/11/2024","124,39","124,51","124,90","124,19","172,41K","-0,22%"
"31/10/2024","124,66","124,37","124,79","124,09","294,25K","-0,06%"
"30/10/2024","124,74","125,49","125,65","124,39","221,79K","-0,37%"
"29/10/2024","125,20","125,99","126,03","125,13","194,47K","-0,49%"
"28/10/2024","125,82","125,11","126,11","124,91","156,92K","0,14%"
"25/10/2024","125,65","126,05","126,26","125,16","161,65K","-0,47%"
"24/10/2024","126,24","125,53","126,27","125,48","199,43K","0,59%"
"23/10/2024","125,50","125,51","125,66","125,32","191,07K","0,02%"
"22/10/2024","125,48","125,66","125,79","125,21","245,83K","-0,26%"
"21/10/2024","125,81","126,86","126,93","125,67","231,64K","-0,93%"
"18/10/2024","126,99","126,66","127,05","126,32","177,83K","0,39%"
"17/10/2024","126,50","126,70","126,80","126,33","243,29K","-0,25%"
"16/10/2024","126,82","126,42","126,86","126,32","188,55K","0,33%"
"15/10/2024","126,40","125,82","126,41","125,78","190,10K","0,64%"
"14/10/2024","125,59","125,48","125,79","125,45","136,79K","0,06%"
"11/10/2024","125,51","125,88","125,99","125,21","176,92K","-0,09%"
"10/10/2024","125,62","125,60","125,95","125,15","188,74K","-0,10%"
"09/10/2024","125,74","126,00","126,08","125,56","169,11K","-0,04%"
"08/10/2024","125,79","125,93","126,13","125,62","170,56K","0,03%"
"07/10/2024","125,75","126,10","126,27","125,74","189,57K","-0,31%"
"04/10/2024","126,14","126,58","126,65","125,92","206,22K","-0,47%"
"03/10/2024","126,74","127,20","127,28","126,45","394,08K","-0,40%"
"02/10/2024","127,25","127,78","127,85","127,12","244,87K","-0,46%"
"01/10/2024","127,84","127,00","128,28","126,88","327,48K","0,79%"
"30/09/2024","126,84","126,90","127,07","126,30","213,38K","0,05%"
"27/09/2024","126,78","126,55","127,14","126,28","199,24K","0,39%"
"26/09/2024","126,29","126,33","126,78","126,23","279,78K","-0,04%"
"25/09/2024","126,34","126,98","127,14","126,25","251,22K","-0,54%"
"24/09/2024","127,02","126,83","127,07","126,26","243,58K","0,33%"
"23/09/2024","126,60","126,40","126,86","126,32","262,35K","0,21%"
"20/09/2024","126,34","127,00","127,10","126,33","231,63K","-0,34%"
"19/09/2024","126,77","126,70","126,99","126,47","326,62K","-0,15%"
"18/09/2024","126,96","127,54","127,65","126,72","208,34K","-0,47%"
"17/09/2024","127,56","127,83","128,14","127,46","182,70K","-0,21%"
"16/09/2024","127,83","127,78","127,92","127,58","165,54K","0,13%"
"13/09/2024","127,66","127,74","127,98","127,57","169,07K","0,03%"
"12/09/2024","127,62","127,88","128,24","127,51","196,17K","-0,32%"
"11/09/2024","128,03","127,62","128,16","127,41","233,73K","0,43%"
"10/09/2024","127,48","127,28","127,72","127,07","200,79K","0,13%"
"09/09/2024","127,31","126,91","127,33","126,55","199,65K","-0,04%"
"06/09/2024","127,36","127,03","127,37","127,03","10,06K","0,50%"
"05/09/2024","126,73","126,68","126,93","126,33","56,55K","0,03%"
"04/09/2024","126,69","126,11","126,74","126,10","309,61K","0,54%"
"03/09/2024","126,01","125,66","126,38","125,39","574,49K","0,27%"
"02/09/2024","125,67","125,80","125,80","125,44","326,64K","-0,32%"
"30/08/2024","126,07","126,06","126,33","125,66","277,24K","0,05%"
"29/08/2024","126,01","126,08","126,57","125,95","238,34K","-0,11%"
"28/08/2024","126,15","126,18","126,49","126,01","174,85K","0,16%"
"27/08/2024","125,95","126,48","126,49","125,74","220,15K","-0,47%"
"26/08/2024","126,55","126,85","126,92","126,29","98,25K","-0,18%"
"23/08/2024","126,78","126,43","126,84","126,32","113,46K","0,25%"
"22/08/2024","126,47","126,94","127,29","126,32","159,79K","-0,33%"
"21/08/2024","126,89","126,66","127,08","126,52","128,06K","0,19%"
"20/08/2024","126,65","126,28","126,67","126,22","123,76K","0,31%"
"19/08/2024","126,26","126,16","126,68","126,16","93,49K","-0,03%"
"16/08/2024","126,30","126,32","126,65","126,19","105,57K","0,06%"
"15/08/2024","126,22","126,83","127,04","126,17","118,06K","-0,58%"
"14/08/2024","126,96","126,86","127,20","126,44","176,05K","0,02%"
"13/08/2024","126,94","126,39","126,95","126,31","121,11K","0,49%"
"12/08/2024","126,32","126,35","126,46","126,14","88,21K","-0,08%"
"09/08/2024","126,42","126,02","126,54","126,00","108,08K","0,37%"
"08/08/2024","125,96","126,16","126,38","125,81","150,66K","-0,02%"
"07/08/2024","125,99","126,40","126,52","125,75","188,17K","-0,47%"
"06/08/2024","126,58","126,14","126,94","125,97","264,40K","0,15%"
"05/08/2024","126,39","126,81","127,06","126,19","309,76K","-0,02%"
"02/08/2024","126,42","126,20","126,73","126,11","285,27K","0,14%"
"01/08/2024","126,24","126,08","126,38","125,79","336,44K","0,29%"
"31/07/2024","125,87","125,49","126,11","125,43","237,12K","0,31%"
"30/07/2024","125,48","125,29","125,67","125,19","156,95K","0,14%"
"29/07/2024","125,31","124,96","125,58","124,94","151,25K","0,30%"
"26/07/2024","124,94","124,64","125,05","124,31","183,88K","0,07%"
"25/07/2024","124,85","124,12","125,03","124,12","199,32K","0,27%"
"24/07/2024","124,52","124,51","124,84","124,13","216,17K","-0,07%"
"23/07/2024","124,61","124,61","124,89","124,47","234,58K","-0,06%"
"22/07/2024","124,68","124,78","124,89","124,46","148,04K","-0,09%"
"19/07/2024","124,79","125,06","125,24","124,64","139,43K","-0,42%"
"18/07/2024","125,32","125,22","125,44","124,94","285,35K","0,10%"
"17/07/2024","125,19","125,24","125,30","124,99","190,70K","0,07%"
"16/07/2024","125,10","124,75","125,30","124,75","183,09K","0,18%"
"15/07/2024","124,88","124,31","124,95","124,14","175,83K","0,32%"
"12/07/2024","124,48","124,46","124,60","124,18","143,66K","-0,26%"
"11/07/2024","124,81","124,19","124,89","123,92","209,41K","0,54%"
"10/07/2024","124,14","123,73","124,39","123,65","264,30K","0,55%"
"09/07/2024","123,46","124,24","124,28","123,40","284,61K","-0,68%"
"08/07/2024","124,31","123,50","124,39","123,36","303,97K","0,34%"
"05/07/2024","123,89","123,27","123,97","123,20","223,97K","0,54%"
"04/07/2024","123,22","123,51","123,54","123,16","244,36K","-0,27%"
"03/07/2024","123,55","122,99","123,65","122,90","271,58K","0,61%"
"02/07/2024","122,80","122,68","123,16","122,34","257,59K","0,15%"
"01/07/2024","122,61","123,23","123,47","122,55","242,68K","-0,41%"
"28/06/2024","123,12","123,44","123,55","122,86","382,35K","-0,23%"
"27/06/2024","123,40","123,64","123,74","123,26","237,39K","-0,31%"
"26/06/2024","123,78","124,44","124,47","123,73","208,86K","-0,51%"
"25/06/2024","124,42","124,42","124,64","124,07","190,72K","0,20%"
"24/06/2024","124,17","124,12","124,40","124,02","170,40K","0,11%"
"21/06/2024","124,03","124,08","124,70","123,90","215,09K","-0,05%"
"20/06/2024","124,09","123,97","124,24","123,78","285,83K","0,00%"
"19/06/2024","124,09","124,28","124,52","123,92","161,95K","-0,25%"
"18/06/2024","124,40","124,00","124,72","123,96","249,95K","0,30%"
"17/06/2024","124,03","123,96","124,49","123,78","281,27K","-0,19%"
"14/06/2024","124,27","123,90","124,60","123,52","455,43K","0,49%"
"13/06/2024","123,67","123,93","124,19","123,49","322,89K","-0,31%"
"12/06/2024","124,05","123,38","124,36","123,14","349,82K","0,69%"
"11/06/2024","123,20","123,26","123,49","122,29","530,56K","-0,08%"
"10/06/2024","123,30","124,22","124,39","123,15","397,37K","-0,96%"
"07/06/2024","124,49","125,21","125,23","124,27","201,40K","-1,07%"
"06/06/2024","125,84","125,94","125,94","125,79","3,74K","-0,20%"
"05/06/2024","126,09","125,69","126,18","125,56","35,93K","0,27%"
"04/06/2024","125,75","125,39","126,16","125,25","316,00K","0,30%"
"03/06/2024","125,37","124,70","125,60","124,58","460,93K","0,51%"
"31/05/2024","124,74","124,60","124,85","124,10","530,50K","0,18%"
"30/05/2024","124,52","124,32","124,66","124,15","288,66K","0,07%"
"29/05/2024","124,43","125,05","125,18","124,08","334,83K","-0,75%"
"28/05/2024","125,37","125,71","125,85","125,01","204,59K","-0,35%"
"27/05/2024","125,81","125,48","125,95","125,23","118,91K","0,28%"
"24/05/2024","125,46","125,43","125,55","125,05","174,04K","0,23%"
"23/05/2024","125,17","125,83","126,17","125,15","293,27K","-0,60%"
"22/05/2024","125,92","126,14","126,23","125,66","260,50K","-0,22%"
"21/05/2024","126,20","125,99","126,36","125,93","192,69K","0,20%"
"20/05/2024","125,95","126,05","126,21","125,86","125,43K","-0,17%"
"17/05/2024","126,17","126,62","126,72","126,00","145,60K","-0,54%"
"16/05/2024","126,86","127,16","127,42","126,57","220,51K","-0,09%"
"15/05/2024","126,98","125,84","127,20","125,84","250,70K","0,99%"
"14/05/2024","125,73","126,12","126,31","125,46","247,49K","-0,31%"
"13/05/2024","126,12","126,10","126,38","125,96","134,68K","0,10%"
"10/05/2024","126,00","126,40","126,62","125,94","170,97K","-0,18%"
"09/05/2024","126,23","126,54","126,54","126,11","195,15K","-0,31%"
"08/05/2024","126,62","126,91","126,95","126,49","168,88K","-0,35%"
"07/05/2024","127,06","126,66","127,09","126,62","163,33K","0,47%"
"06/05/2024","126,47","126,32","126,89","126,31","106,72K","0,26%"
"03/05/2024","126,14","125,86","126,77","125,80","235,09K","0,33%"
"02/05/2024","125,72","125,70","126,09","125,47","312,98K","0,26%"
"01/05/2024","125,39","125,39","125,39","125,39","","-0,06%"
"30/04/2024","125,47","126,14","126,29","125,26","257,82K","-0,55%"
"29/04/2024","126,17","125,49","126,25","125,48","204,36K","0,56%"
"26/04/2024","125,47","124,70","125,68","124,69","210,92K","0,47%"
"25/04/2024","124,88","125,13","125,46","124,60","230,70K","-0,30%"
"24/04/2024","125,25","125,97","125,99","125,06","236,34K","-0,69%"
"23/04/2024","126,12","126,29","126,51","125,81","204,95K","-0,07%"
"22/04/2024","126,21","125,64","126,32","125,54","198,63K","0,24%"
"19/04/2024","125,91","126,08","127,07","125,74","196,26K","-0,17%"
"18/04/2024","126,12","126,29","126,74","125,93","239,13K","-0,14%"
"17/04/2024","126,30","125,98","126,48","125,80","193,20K","0,22%"
"16/04/2024","126,02","126,75","126,87","125,79","238,38K","-0,48%"
"15/04/2024","126,63","127,35","127,41","126,44","187,15K","-0,73%"
"12/04/2024","127,56","126,49","127,93","126,49","244,23K","1,01%"
"11/04/2024","126,29","126,73","127,03","126,21","233,86K","-0,52%"
"10/04/2024","126,95","127,59","127,86","126,58","250,16K","-0,49%"
"09/04/2024","127,57","126,93","127,66","126,85","196,24K","0,57%"
