"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","118,44","118,31","118,59","118,25","2,14K","-0,16%"
"27/11/2024","118,63","117,91","118,91","117,81","252,03K","0,64%"
"26/11/2024","117,88","118,06","118,25","117,50","657,10K","-0,34%"
"25/11/2024","118,28","117,03","118,34","116,84","1,28M","1,72%"
"22/11/2024","116,28","116,31","116,84","116,06","1,02M","0,13%"
"21/11/2024","116,13","116,47","116,91","116,00","864,07K","-0,38%"
"20/11/2024","116,56","116,66","116,91","116,09","605,40K","-0,29%"
"19/11/2024","116,91","116,28","117,41","116,25","527,96K","0,51%"
"18/11/2024","116,31","116,09","116,63","115,28","463,14K","0,00%"
"15/11/2024","116,31","116,38","116,66","115,34","605,81K","-0,21%"
"14/11/2024","116,56","115,97","116,97","115,47","595,80K","0,62%"
"13/11/2024","115,84","116,34","117,34","115,69","615,29K","-0,40%"
"12/11/2024","116,31","117,84","118,16","116,13","564,76K","-1,14%"
"11/11/2024","117,66","117,84","117,91","117,22","178,87K","-0,16%"
"08/11/2024","117,84","117,19","118,34","116,94","474,35K","0,64%"
"07/11/2024","117,09","116,13","117,50","115,69","574,32K","0,73%"
"06/11/2024","116,25","118,28","118,66","115,31","1,02M","-1,61%"
"05/11/2024","118,16","118,03","118,38","117,16","407,77K","0,40%"
"04/11/2024","117,69","117,28","118,31","117,28","479,09K","0,75%"
"01/11/2024","116,81","118,00","118,78","116,50","730,91K","-0,98%"
"31/10/2024","117,97","117,59","118,22","117,19","838,95K","-0,08%"
"30/10/2024","118,06","117,94","118,88","117,50","628,30K","0,32%"
"29/10/2024","117,69","117,63","118,00","116,75","512,69K","0,03%"
"28/10/2024","117,66","118,19","118,38","117,00","470,69K","-0,53%"
"25/10/2024","118,28","118,63","119,16","118,03","399,37K","-0,39%"
"24/10/2024","118,75","118,03","119,03","117,91","496,73K","0,61%"
"23/10/2024","118,03","118,31","118,47","117,78","481,96K","-0,37%"
"22/10/2024","118,47","118,47","118,97","118,06","484,94K","-0,18%"
"21/10/2024","118,69","120,06","120,19","118,47","411,28K","-1,30%"
"18/10/2024","120,25","120,09","120,50","119,56","379,66K","0,21%"
"17/10/2024","120,00","121,31","121,38","119,94","431,23K","-1,11%"
"16/10/2024","121,34","121,03","121,72","120,97","381,39K","0,23%"
"15/10/2024","121,06","120,09","121,22","120,03","432,66K","1,07%"
"14/10/2024","119,78","120,00","120,13","119,44","144,13K","-0,49%"
"11/10/2024","120,38","120,66","120,72","119,72","360,15K","0,16%"
"10/10/2024","120,19","120,75","120,94","119,88","578,51K","-0,49%"
"09/10/2024","120,78","121,44","121,50","120,53","397,77K","-0,28%"
"08/10/2024","121,13","121,31","121,66","120,75","370,05K","-0,15%"
"07/10/2024","121,31","121,94","122,25","121,22","441,17K","-0,54%"
"04/10/2024","121,97","123,47","123,69","121,78","597,75K","-1,19%"
"03/10/2024","123,44","124,28","124,34","123,31","397,15K","-0,68%"
"02/10/2024","124,28","125,13","125,28","123,63","515,15K","-0,58%"
"01/10/2024","125,00","124,41","125,78","124,34","569,43K","0,65%"
"30/09/2024","124,19","124,81","124,88","124,13","605,27K","-0,55%"
"27/09/2024","124,88","124,22","125,00","124,03","433,44K","0,43%"
"26/09/2024","124,34","124,22","124,69","123,72","462,86K","0,05%"
"25/09/2024","124,28","125,06","125,19","124,09","378,91K","-0,60%"
"24/09/2024","125,03","124,94","125,19","123,91","470,95K","-0,07%"
"23/09/2024","125,13","125,03","125,31","124,25","424,09K","-0,10%"
"20/09/2024","125,25","125,50","125,72","124,81","425,39K","0,10%"
"19/09/2024","125,13","125,84","125,91","124,69","598,03K","-0,74%"
"18/09/2024","126,06","126,75","126,97","125,53","523,82K","-0,64%"
"17/09/2024","126,88","127,25","127,69","126,69","474,24K","-0,25%"
"16/09/2024","127,19","126,66","127,31","126,50","367,69K","0,37%"
"13/09/2024","126,72","126,50","127,09","126,28","365,67K","0,30%"
"12/09/2024","126,34","126,75","127,00","125,94","441,08K","-0,35%"
"11/09/2024","126,78","126,78","127,44","126,31","531,40K","-0,10%"
"10/09/2024","126,91","126,06","127,00","125,72","385,83K","0,59%"
"09/09/2024","126,16","125,69","126,28","125,09","336,87K","0,22%"
"06/09/2024","125,88","125,69","126,81","125,16","691,32K","0,17%"
"05/09/2024","125,66","125,25","125,81","125,03","421,51K","0,37%"
"04/09/2024","125,19","124,19","125,34","124,06","478,00K","0,83%"
"03/09/2024","124,16","122,94","124,66","122,53","615,20K","0,84%"
"30/08/2024","123,13","123,94","124,13","122,66","619,83K","-0,53%"
"29/08/2024","123,78","124,31","124,63","123,38","417,87K","-0,30%"
"28/08/2024","124,16","124,53","124,81","124,09","433,89K","-0,15%"
"27/08/2024","124,34","124,75","124,84","123,81","678,44K","-0,30%"
"26/08/2024","124,72","124,88","125,25","124,50","812,26K","-0,05%"
"23/08/2024","124,78","124,31","125,13","124,22","411,83K","0,45%"
"22/08/2024","124,22","125,16","125,31","123,97","421,65K","-1,07%"
"21/08/2024","125,56","125,16","125,72","124,75","69,32K","0,40%"
"20/08/2024","125,06","124,31","125,25","124,06","53,24K","0,55%"
"19/08/2024","124,38","123,91","124,56","123,66","24,06K","0,43%"
"16/08/2024","123,84","123,59","124,25","123,44","13,27K","0,33%"
"15/08/2024","123,44","124,53","124,69","122,84","11,88K","-1,05%"
"14/08/2024","124,75","124,22","124,97","123,97","15,53K","0,48%"
"13/08/2024","124,16","123,47","124,25","123,16","11,96K","0,56%"
"12/08/2024","123,47","123,09","123,59","122,69","2,86K","0,36%"
"09/08/2024","123,03","122,28","123,31","122,22","8,69K","0,74%"
"08/08/2024","122,13","122,75","123,50","121,72","4,69K","-0,36%"
"07/08/2024","122,56","123,97","123,97","122,44","5,22K","-1,01%"
"06/08/2024","123,81","125,47","125,47","123,56","3,48K","-1,37%"
"05/08/2024","125,53","125,28","126,94","124,81","3,81K","0,37%"
"03/08/2024","125,06","125,06","125,06","125,06","","-0,10%"
"02/08/2024","125,19","122,78","125,38","122,78","3,44K","2,06%"
"01/08/2024","122,66","121,78","122,91","121,47","1,02K","1,45%"
"31/07/2024","120,91","120,34","121,91","120,22","0,86K","0,52%"
"30/07/2024","120,28","119,78","120,44","119,63","0,57K","0,44%"
"29/07/2024","119,75","119,63","120,22","119,56","0,21K","0,31%"
"27/07/2024","119,38","119,38","119,38","119,38","","-0,05%"
"26/07/2024","119,44","118,78","119,63","118,59","0,09K","0,61%"
"25/07/2024","118,72","118,22","119,31","118,22","0,33K","0,50%"
"24/07/2024","118,13","118,88","119,34","118,09","0,76K","-0,84%"
"23/07/2024","119,13","119,00","119,41","118,94","0,10K","0,21%"
"22/07/2024","118,88","119,50","119,75","118,63","0,53K","-0,24%"
"20/07/2024","119,16","119,16","119,16","119,16","","-0,05%"
"19/07/2024","119,22","119,88","119,91","119,06","0,26K","-0,57%"
"18/07/2024","119,91","120,34","120,34","119,72","0,41K","-0,60%"
"17/07/2024","120,63","120,38","120,63","120,03","0,64K","0,21%"
"16/07/2024","120,38","119,56","120,41","119,47","0,73K","0,94%"
"15/07/2024","119,25","119,31","119,47","118,81","0,67K","-0,55%"
"13/07/2024","119,91","119,91","119,91","119,91","","-0,10%"
"12/07/2024","120,03","119,69","120,09","119,31","0,11K","0,10%"
"11/07/2024","119,91","118,78","120,34","118,63","0,57K","0,92%"
"10/07/2024","118,81","118,50","119,03","118,50","0,12K","0,26%"
"09/07/2024","118,50","118,72","118,81","118,19","0,60K","-0,50%"
"08/07/2024","119,09","118,59","119,00","118,38","1,20K","0,16%"
"05/07/2024","118,91","117,59","118,97","117,59","0,06K","1,12%"
"04/07/2024","117,59","117,69","117,78","117,47","46,21K","-0,42%"
"03/07/2024","118,09","116,94","118,16","116,81","0,08K","1,15%"
"02/07/2024","116,75","116,59","117,03","116,50","0,28K","0,48%"
"01/07/2024","116,19","117,50","117,50","116,03","0,12K","-1,09%"
"29/06/2024","117,47","117,47","117,47","117,47","","-0,82%"
"28/06/2024","118,44","119,25","119,78","117,75","0,26K","-0,84%"
"27/06/2024","119,44","118,59","119,50","118,59","0,02K","0,31%"
"26/06/2024","119,06","119,78","119,78","118,97","0,10K","-1,01%"
"25/06/2024","120,28","120,41","120,59","120,09","0,06K","0,13%"
"24/06/2024","120,13","120,09","120,19","119,78","0,02K","0,29%"
"22/06/2024","119,78","119,78","119,78","119,78","","-0,16%"
"21/06/2024","119,97","120,38","120,38","119,66","0,04K","-0,03%"
"20/06/2024","120,00","120,47","120,63","119,47","0,11K","-0,21%"
"19/06/2024","120,25","120,34","120,56","120,19","66,02K","-0,21%"
"18/06/2024","120,50","119,78","120,47","119,59","0,01K","0,71%"
"17/06/2024","119,66","120,16","120,31","119,38","0,02K","-0,73%"
"14/06/2024","120,53","120,00","120,69","119,75","0,09K","0,50%"
"13/06/2024","119,94","118,78","120,19","118,78","0,04K","0,58%"
"12/06/2024","119,25","118,00","119,72","118,00","0,03K","1,22%"
"11/06/2024","117,81","117,19","117,47","117,13","0,03K","0,69%"
"10/06/2024","117,00","117,50","117,50","116,88","0,05K","-0,53%"
"07/06/2024","117,63","119,31","119,31","117,59","0,10K","-1,70%"
"06/06/2024","119,66","119,34","119,59","119,03","0,06K","0,16%"
"05/06/2024","119,47","118,88","119,41","118,69","0,01K","0,55%"
"04/06/2024","118,81","118,41","118,91","118,31","0,02K","0,80%"
"03/06/2024","117,88","116,75","117,69","116,75","0,02K","1,34%"
"31/05/2024","116,31","116,13","116,63","116,13","0,01K","0,57%"
"30/05/2024","115,66","115,50","116,13","115,50","0,05K","0,79%"
"29/05/2024","114,75","115,84","115,84","114,69","0,02K","-0,94%"
"28/05/2024","115,84","117,19","117,19","115,97","0,01K","-0,94%"
"27/05/2024","116,94","117,16","117,16","116,72","110,47K","-0,16%"
"26/05/2024","117,13","117,00","117,13","117,00","9,35K","0,19%"
"24/05/2024","116,91","117,16","117,16","116,97","0,00K","0,00%"
"23/05/2024","116,91","117,00","117,00","117,00","0,00K","-0,37%"
"22/05/2024","117,34","117,34","117,53","116,75","512,13K","-0,05%"
"21/05/2024","117,41","116,97","117,59","116,84","362,33K","0,24%"
"20/05/2024","117,13","117,72","117,72","116,84","0,02K","-0,16%"
"18/05/2024","117,31","117,31","117,31","117,31","","-0,05%"
"17/05/2024","117,38","117,97","117,97","117,59","0,01K","-0,50%"
"16/05/2024","117,97","118,47","118,47","118,47","0,00K","-0,19%"
"15/05/2024","118,19","117,50","118,47","117,50","0,01K","1,12%"
"14/05/2024","116,88","116,28","116,88","115,66","380,61K","0,35%"
"13/05/2024","116,47","116,12","116,69","116,12","0,00K","0,30%"
"11/05/2024","116,13","116,13","116,13","116,13","","0,00%"
"10/05/2024","116,13","116,50","116,50","115,88","0,00K","-0,62%"
"09/05/2024","116,84","116,00","116,88","116,00","0,01K","0,35%"
"08/05/2024","116,44","116,34","116,34","116,34","0,00K","-0,29%"
"07/05/2024","116,78","116,25","117,22","116,12","458,63K","0,43%"
"06/05/2024","116,28","116,00","116,00","116,00","0,00K","0,40%"
"04/05/2024","115,81","115,81","115,81","115,81","","-0,16%"
"03/05/2024","116,00","116,00","116,00","116,00","0,00K","0,73%"
"02/05/2024","115,16","114,56","115,16","114,06","448,31K","0,08%"
"01/05/2024","115,06","114,50","114,50","114,50","0,01K","1,07%"
"30/04/2024","113,84","114,59","114,78","113,75","539,74K","-0,68%"
"29/04/2024","114,63","114,44","114,44","114,44","0,00K","0,58%"
"27/04/2024","113,97","113,97","113,97","113,97","","0,08%"
"26/04/2024","113,88","113,34","114,31","113,19","358,74K","0,50%"
"25/04/2024","113,31","114,06","114,34","112,84","444,46K","-0,52%"
"24/04/2024","113,91","114,81","114,81","113,81","0,00K","-0,74%"
"23/04/2024","114,75","114,62","115,16","114,06","405,84K","0,14%"
"22/04/2024","114,59","114,38","114,69","113,97","330,28K","0,03%"
"20/04/2024","114,56","114,56","114,56","114,56","","-0,11%"
"19/04/2024","114,69","115,44","115,44","115,44","0,00K","0,44%"
"18/04/2024","114,19","114,81","115,19","114,06","401,75K","-0,60%"
"17/04/2024","114,88","113,84","114,97","113,62","505,31K","0,77%"
"16/04/2024","114,00","114,00","114,00","114,00","0,00K","-0,27%"
"15/04/2024","114,31","115,00","115,00","115,00","0,00K","-1,30%"
"13/04/2024","115,81","115,81","115,81","115,81","","-0,38%"
"12/04/2024","116,25","115,47","116,00","115,47","0,01K","0,84%"
"11/04/2024","115,28","115,59","115,59","115,59","0,00K","-0,27%"
"10/04/2024","115,59","118,00","118,31","115,41","717,70K","-2,04%"
"09/04/2024","118,00","117,12","118,16","117,00","388,35K","0,75%"
"08/04/2024","117,13","117,00","117,00","117,00","0,00K","-0,37%"
"05/04/2024","117,56","118,34","118,47","117,03","509,13K","-0,74%"
"04/04/2024","118,44","117,94","118,53","117,38","475,17K","0,53%"
"03/04/2024","117,81","117,00","117,00","117,00","0,00K","0,05%"
"02/04/2024","117,75","118,72","118,81","117,16","616,98K","-0,69%"
"01/04/2024","118,56","120,00","120,00","119,31","0,01K","-1,58%"
"28/03/2024","120,47","120,31","120,62","119,75","449,27K","0,23%"
"27/03/2024","120,19","119,62","120,38","119,50","335,56K","0,44%"
"26/03/2024","119,66","119,41","119,78","119,06","295,64K","0,24%"
"25/03/2024","119,38","119,97","120,19","119,19","252,14K","-0,39%"
"22/03/2024","119,84","119,09","120,16","119,06","313,02K","0,71%"
"21/03/2024","119,00","118,88","119,62","118,59","365,65K","0,11%"
"20/03/2024","118,88","119,00","119,00","119,00","0,00K","0,13%"
"19/03/2024","118,72","118,44","119,00","118,22","420,80K","0,45%"
"18/03/2024","118,19","118,59","118,88","118,09","301,27K","-0,45%"
"15/03/2024","118,72","118,88","119,22","118,47","351,27K","0,00%"
"14/03/2024","118,72","120,38","120,44","118,69","466,18K","-1,27%"
"13/03/2024","120,25","120,78","121,16","120,12","374,45K","-0,41%"
