"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","30,565","30,575","30,613","30,095","","0,03%"
"27/11/2024","30,556","30,930","31,185","30,435","57,01K","-0,90%"
"26/11/2024","30,832","30,770","31,170","30,455","49,96K","0,56%"
"25/11/2024","30,661","31,850","31,980","30,530","48,20K","-3,51%"
"22/11/2024","31,776","31,315","31,905","31,240","26,59K","1,27%"
"21/11/2024","31,379","31,370","31,810","31,145","22,97K","-0,17%"
"20/11/2024","31,434","31,735","31,850","31,295","13,81K","-0,82%"
"19/11/2024","31,693","31,660","32,035","31,555","15,25K","0,13%"
"18/11/2024","31,652","30,810","31,780","30,780","9,31K","2,58%"
"15/11/2024","30,855","30,970","31,315","30,695","6,03K","-0,44%"
"14/11/2024","30,991","30,820","31,155","30,180","10,62K","-0,32%"
"13/11/2024","31,090","31,255","31,665","30,815","16,35K","-0,31%"
"12/11/2024","31,188","31,195","31,355","30,700","17,69K","0,49%"
"11/11/2024","31,036","31,850","32,080","30,940","16,92K","-2,67%"
"08/11/2024","31,886","32,585","32,585","31,735","16,80K","-1,26%"
"07/11/2024","32,292","31,720","32,690","31,405","15,66K","1,68%"
"06/11/2024","31,760","33,290","33,290","31,380","12,15K","-4,39%"
"05/11/2024","33,220","33,035","33,490","32,800","6,58K","0,51%"
"04/11/2024","33,052","33,000","33,425","32,865","5,71K","-0,22%"
"01/11/2024","33,124","33,220","33,680","32,930","7,01K","-0,35%"
"31/10/2024","33,239","34,420","34,470","33,100","6,05K","-3,75%"
"30/10/2024","34,534","35,075","35,140","34,015","5,42K","-0,20%"
"29/10/2024","34,603","34,005","34,845","33,950","0,32K","1,29%"
"28/10/2024","34,161","33,895","34,295","33,585","0,14K","0,65%"
"25/10/2024","33,939","33,970","34,260","33,490","0,31K","-0,05%"
"24/10/2024","33,955","34,025","34,605","33,625","0,40K","-0,13%"
"23/10/2024","33,999","35,185","35,190","33,800","0,41K","-3,42%"
"22/10/2024","35,204","34,230","35,205","34,230","0,47K","2,82%"
"21/10/2024","34,237","34,050","34,620","33,940","0,55K","2,54%"
"18/10/2024","33,389","32,055","34,120","32,040","0,55K","4,59%"
"17/10/2024","31,924","32,035","32,310","31,800","0,17K","-0,62%"
"16/10/2024","32,124","31,865","32,500","31,860","0,50K","0,68%"
"15/10/2024","31,906","31,585","32,000","31,255","0,10K","1,40%"
"14/10/2024","31,467","31,870","31,870","31,280","0,43K","-1,37%"
"11/10/2024","31,904","31,560","31,980","31,440","0,19K","1,65%"
"10/10/2024","31,385","30,880","31,510","30,795","0,10K","1,86%"
"09/10/2024","30,812","30,950","31,120","30,680","0,13K","0,22%"
"08/10/2024","30,743","32,040","32,040","30,600","0,12K","-4,38%"
"07/10/2024","32,152","32,590","32,635","31,945","0,07K","-1,21%"
"04/10/2024","32,545","32,510","33,370","31,900","0,30K","-0,19%"
"03/10/2024","32,608","32,180","32,545","31,815","0,24K","1,69%"
"02/10/2024","32,065","31,780","32,570","31,495","0,18K","0,56%"
"01/10/2024","31,885","31,605","32,250","31,605","0,12K","0,90%"
"30/09/2024","31,600","32,200","32,230","31,380","0,13K","-1,12%"
"27/09/2024","31,958","32,480","32,680","31,850","0,20K","-1,18%"
"26/09/2024","32,341","32,110","33,020","32,035","94,20K","1,01%"
"25/09/2024","32,018","32,445","32,610","31,870","85,61K","-1,27%"
"24/09/2024","32,430","31,020","32,600","30,960","115,08K","4,33%"
"23/09/2024","31,085","31,535","31,550","30,670","62,47K","-1,33%"
"20/09/2024","31,505","31,110","31,755","31,040","76,17K","0,26%"
"19/09/2024","31,423","30,415","31,625","30,220","77,05K","2,40%"
"18/09/2024","30,687","31,025","31,585","30,035","85,43K","-0,94%"
"17/09/2024","30,979","31,075","31,350","30,860","48,35K","-0,50%"
"16/09/2024","31,135","31,075","31,460","30,950","50,59K","0,20%"
"13/09/2024","31,074","30,230","31,280","30,190","84,16K","3,21%"
"12/09/2024","30,107","29,020","30,250","28,850","80,35K","4,08%"
"11/09/2024","28,928","28,725","29,215","28,390","69,78K","1,10%"
"10/09/2024","28,614","28,690","28,890","28,360","47,04K","-0,13%"
"09/09/2024","28,651","28,270","28,710","28,035","48,56K","1,66%"
"06/09/2024","28,183","29,155","29,470","28,010","89,00K","-3,15%"
"05/09/2024","29,099","28,630","29,550","28,535","64,09K","1,90%"
"04/09/2024","28,557","28,390","28,715","28,110","46,98K","0,75%"
"03/09/2024","28,344","29,240","29,350","28,055","91,64K","-1,92%"
"02/09/2024","28,898","29,247","29,350","28,705","","-1,20%"
"01/09/2024","29,250","29,188","29,260","29,185","","0,37%"
"30/08/2024","29,143","29,840","30,000","29,080","60,31K","-2,82%"
"29/08/2024","29,989","29,560","30,085","29,540","70,38K","1,22%"
"28/08/2024","29,628","30,430","30,545","29,505","52,52K","-2,62%"
"27/08/2024","30,426","30,375","30,545","30,145","34,97K","-0,09%"
"26/08/2024","30,453","30,325","30,670","30,120","30,32K","0,65%"
"23/08/2024","30,256","29,420","30,355","29,375","30,73K","2,66%"
"22/08/2024","29,471","30,045","30,135","29,215","27,82K","-1,67%"
"21/08/2024","29,971","29,910","30,205","29,660","13,96K","0,06%"
"20/08/2024","29,953","29,905","30,460","29,680","18,94K","0,74%"
"19/08/2024","29,732","29,505","29,950","29,200","14,90K","1,60%"
"16/08/2024","29,264","28,835","29,505","28,505","10,08K","1,51%"
"15/08/2024","28,828","27,990","28,985","27,940","14,63K","3,94%"
"14/08/2024","27,734","28,320","28,565","27,640","9,34K","-1,61%"
"13/08/2024","28,188","28,440","28,520","27,910","16,83K","-0,78%"
"12/08/2024","28,409","27,980","28,500","27,680","16,20K","1,53%"
"09/08/2024","27,982","28,010","28,235","27,725","17,60K","-0,07%"
"08/08/2024","28,002","27,075","28,075","26,885","15,58K","2,46%"
"07/08/2024","27,331","27,410","27,745","27,055","13,71K","-0,99%"
"06/08/2024","27,603","27,775","28,035","27,085","5,56K","0,03%"
"05/08/2024","27,596","29,140","29,220","26,975","10,30K","-4,19%"
"02/08/2024","28,802","29,050","29,755","28,480","6,66K","-0,34%"
"01/08/2024","28,899","29,585","29,685","28,780","6,26K","-1,59%"
"31/07/2024","29,367","28,965","29,610","28,850","5,21K","1,46%"
"30/07/2024","28,945","28,435","28,980","28,195","5,03K","2,35%"
"29/07/2024","28,280","28,480","28,745","27,855","5,45K","-0,55%"
"26/07/2024","28,436","28,400","28,620","28,180","5,14K","0,18%"
"25/07/2024","28,386","29,480","29,485","27,980","9,23K","-4,59%"
"24/07/2024","29,752","29,860","30,070","29,505","4,04K","-0,04%"
"23/07/2024","29,765","29,735","29,905","29,280","4,23K","0,03%"
"22/07/2024","29,756","29,820","30,040","29,385","4,32K","0,05%"
"19/07/2024","29,741","30,435","30,475","29,500","5,13K","-3,04%"
"18/07/2024","30,672","30,960","31,250","30,385","4,34K","-0,51%"
"17/07/2024","30,830","31,950","32,115","30,715","4,73K","-3,41%"
"16/07/2024","31,920","31,350","32,085","31,190","4,76K","1,68%"
"15/07/2024","31,392","31,520","31,780","31,215","3,21K","-0,72%"
"12/07/2024","31,621","32,145","32,145","31,080","3,62K","-1,59%"
"11/07/2024","32,131","31,555","32,460","31,555","3,77K","2,10%"
"10/07/2024","31,470","31,550","31,900","31,375","3,35K","-0,13%"
"09/07/2024","31,511","31,535","31,885","31,250","3,43K","0,45%"
"08/07/2024","31,370","31,925","32,100","31,160","5,01K","-2,41%"
"05/07/2024","32,146","31,260","32,240","30,945","7,09K","4,88%"
"04/07/2024","30,650","30,815","30,875","30,495","","-2,06%"
"03/07/2024","31,295","30,275","31,405","30,250","4,83K","4,00%"
"02/07/2024","30,092","30,210","30,555","29,925","2,23K","0,16%"
"01/07/2024","30,044","29,855","30,205","29,680","1,47K","0,18%"
"28/06/2024","29,990","29,715","30,390","29,520","2,86K","1,03%"
"27/06/2024","29,684","29,500","30,000","29,440","1,96K","1,46%"
"26/06/2024","29,256","29,280","29,415","28,900","56,44K","0,22%"
"25/06/2024","29,193","29,920","30,015","29,180","50,67K","-2,20%"
"24/06/2024","29,849","29,900","30,080","29,690","25,17K","-0,31%"
"21/06/2024","29,942","31,160","31,225","29,830","32,22K","-3,87%"
"20/06/2024","31,148","29,925","31,170","29,730","39,15K","4,45%"
"19/06/2024","29,820","29,602","29,860","29,410","","-0,21%"
"18/06/2024","29,883","29,870","30,065","29,305","20,94K","0,59%"
"17/06/2024","29,709","29,955","29,960","29,410","9,51K","-0,27%"
"14/06/2024","29,790","29,310","29,965","29,230","16,20K","1,39%"
"13/06/2024","29,381","30,135","30,135","29,045","28,22K","-3,96%"
"12/06/2024","30,591","29,690","30,675","29,600","25,79K","3,53%"
"11/06/2024","29,548","30,200","30,205","29,485","20,39K","-2,14%"
"10/06/2024","30,195","29,600","30,250","29,560","19,05K","1,46%"
"07/06/2024","29,761","31,800","31,985","29,560","25,82K","-6,11%"
"06/06/2024","31,698","30,495","31,795","30,405","10,03K","4,29%"
"05/06/2024","30,395","29,940","30,500","29,855","7,12K","1,54%"
"04/06/2024","29,935","31,250","31,330","29,830","10,51K","-3,78%"
"03/06/2024","31,112","30,895","31,280","30,270","7,58K","1,12%"
"31/05/2024","30,767","31,675","32,265","30,680","6,36K","-3,47%"
"30/05/2024","31,872","32,500","32,605","31,525","7,41K","-2,58%"
"29/05/2024","32,716","32,640","32,840","32,130","5,47K","0,73%"
"28/05/2024","32,479","30,895","32,785","30,895","12,10K","2,03%"
