"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/11/2024","334,25","348,25","352,00","332,25","0,20K","-3,88%"
"26/11/2024","347,75","348,25","358,25","347,00","0,42K","0,80%"
"25/11/2024","345,00","349,75","350,00","345,00","0,33K","-1,22%"
"22/11/2024","349,25","343,00","352,25","343,00","0,07K","0,87%"
"21/11/2024","346,25","347,50","352,00","343,25","0,24K","0,44%"
"20/11/2024","344,75","345,00","354,25","336,75","0,24K","0,00%"
"19/11/2024","344,75","367,25","369,50","338,75","0,42K","-5,22%"
"18/11/2024","363,75","357,50","372,25","353,75","0,53K","1,96%"
"15/11/2024","356,75","353,25","359,25","348,50","0,37K","2,37%"
"14/11/2024","348,50","344,00","357,00","342,25","0,75K","1,90%"
"13/11/2024","342,00","343,50","345,00","336,00","0,61K","-0,87%"
"12/11/2024","345,00","345,25","350,00","338,25","0,92K","-0,22%"
"11/11/2024","345,75","361,50","361,50","341,50","0,91K","-4,36%"
"08/11/2024","361,50","384,50","385,00","359,25","0,95K","-5,68%"
"07/11/2024","383,25","391,00","391,00","379,50","0,63K","-2,17%"
"06/11/2024","391,75","391,75","393,00","383,50","0,44K","0,13%"
"05/11/2024","391,25","390,50","395,00","387,25","0,63K","0,32%"
"04/11/2024","390,00","397,50","408,00","389,50","0,93K","-2,32%"
"01/11/2024","399,25","394,50","400,50","394,25","0,65K","1,20%"
"31/10/2024","394,50","391,00","403,75","387,75","1,17K","0,96%"
"30/10/2024","390,75","384,00","392,50","383,75","0,47K","1,76%"
"29/10/2024","384,00","379,00","388,00","378,50","0,42K","1,12%"
"28/10/2024","379,75","378,00","383,00","374,75","0,45K","-0,13%"
"25/10/2024","380,25","379,00","381,50","376,50","1,26K","0,93%"
"24/10/2024","376,75","380,00","383,75","373,50","0,43K","-0,99%"
"23/10/2024","380,50","381,00","382,25","377,00","0,27K","-0,65%"
"22/10/2024","383,00","377,00","384,75","374,25","0,49K","0,92%"
"21/10/2024","379,50","382,50","389,00","376,25","0,37K","-0,78%"
"18/10/2024","382,50","389,25","389,75","382,00","0,23K","-1,48%"
"17/10/2024","388,25","378,00","389,75","376,75","0,39K","2,44%"
"16/10/2024","379,00","378,75","388,00","376,75","0,62K","0,53%"
"15/10/2024","377,00","372,00","379,75","369,50","0,85K","1,14%"
"14/10/2024","372,75","380,00","384,00","370,50","0,63K","-1,84%"
"11/10/2024","379,75","382,75","388,75","378,25","0,51K","-1,11%"
"10/10/2024","384,00","388,25","394,00","381,50","0,76K","-0,84%"
"09/10/2024","387,25","389,25","390,00","376,75","0,54K","-0,45%"
"08/10/2024","389,00","393,00","396,75","380,75","0,66K","-1,71%"
"07/10/2024","395,75","387,00","397,50","385,00","0,43K","1,93%"
"04/10/2024","388,25","380,25","389,50","373,25","0,58K","1,17%"
"03/10/2024","383,75","390,00","392,50","378,25","0,51K","-1,54%"
"02/10/2024","389,75","385,25","392,00","378,00","0,46K","0,45%"
"01/10/2024","388,00","394,00","395,50","385,00","0,38K","-1,15%"
"30/09/2024","392,50","383,00","393,75","382,25","0,41K","2,01%"
"27/09/2024","384,75","382,00","387,50","381,00","0,58K","1,25%"
"26/09/2024","380,00","369,25","387,25","369,00","0,71K","2,36%"
"25/09/2024","371,25","363,00","375,00","357,25","0,35K","1,71%"
"24/09/2024","365,00","368,00","374,25","361,75","0,38K","-1,02%"
"23/09/2024","368,75","370,75","379,75","367,25","0,71K","0,48%"
"20/09/2024","367,00","364,00","372,50","364,00","0,33K","0,69%"
"19/09/2024","364,50","356,75","366,25","356,75","0,74K","2,60%"
"18/09/2024","355,25","352,25","359,75","348,50","0,49K","1,14%"
"17/09/2024","351,25","355,75","362,50","348,25","0,85K","-3,30%"
"16/09/2024","363,25","377,00","378,75","354,25","0,96K","-0,82%"
"13/09/2024","366,25","366,25","366,25","366,25","","0,00%"
"12/09/2024","366,25","365,00","365,00","365,00","0,00K","2,09%"
"11/09/2024","358,75","358,75","358,75","358,75","","0,14%"
"10/09/2024","358,25","358,25","358,25","358,25","","1,70%"
"09/09/2024","352,25","352,25","352,25","352,25","","2,70%"
"06/09/2024","343,00","343,00","343,00","343,00","","-1,86%"
"05/09/2024","349,50","349,50","349,50","349,50","","0,50%"
"04/09/2024","347,75","347,75","347,75","347,75","","2,88%"
"03/09/2024","338,00","338,00","338,00","338,00","0,00K","2,81%"
"30/08/2024","328,75","328,75","328,75","328,75","0,03K","-5,80%"
"29/08/2024","349,00","340,00","356,50","329,25","0,15K","2,57%"
"28/08/2024","340,25","322,00","343,25","322,00","0,12K","5,02%"
"27/08/2024","324,00","319,00","330,00","319,00","0,16K","0,93%"
"26/08/2024","321,00","316,00","321,50","315,00","0,13K","-1,23%"
"23/08/2024","325,00","316,50","326,00","314,00","0,15K","1,17%"
"22/08/2024","321,25","329,75","330,00","312,50","0,13K","-1,76%"
"21/08/2024","327,00","328,75","335,50","327,00","0,22K","-1,06%"
"20/08/2024","330,50","319,25","332,00","319,25","0,12K","3,04%"
"19/08/2024","320,75","319,00","322,75","308,00","0,07K","0,39%"
"16/08/2024","319,50","319,75","323,25","319,50","0,03K","0,39%"
"15/08/2024","318,25","323,50","323,50","316,75","0,09K","-0,78%"
"14/08/2024","320,75","320,50","329,75","316,50","0,20K","-0,54%"
"13/08/2024","322,50","318,25","323,00","315,50","0,20K","0,70%"
"12/08/2024","320,25","325,25","327,75","318,00","0,17K","-0,54%"
"09/08/2024","322,00","327,25","328,50","319,75","0,14K","-2,35%"
"08/08/2024","329,75","329,50","336,00","326,75","0,19K","0,30%"
"07/08/2024","328,75","323,25","332,00","323,25","0,12K","-0,45%"
"06/08/2024","330,25","321,00","331,75","319,75","0,20K","2,17%"
"05/08/2024","323,25","324,25","328,50","319,25","0,15K","-0,77%"
"02/08/2024","325,75","320,75","326,50","317,75","0,20K","1,01%"
"01/08/2024","322,50","327,00","327,50","321,25","0,31K","-1,15%"
"31/07/2024","326,25","326,25","330,25","324,00","0,33K","0,08%"
"30/07/2024","326,00","324,00","330,75","316,50","0,27K","0,85%"
"29/07/2024","323,25","322,75","324,75","313,25","0,19K","0,31%"
"26/07/2024","322,25","331,25","334,75","317,00","0,13K","-2,05%"
"25/07/2024","329,00","330,00","334,25","321,50","0,16K","-1,13%"
"24/07/2024","332,75","339,00","342,00","330,50","0,19K","-2,42%"
"23/07/2024","341,00","345,50","347,75","337,75","0,20K","-1,23%"
"22/07/2024","345,25","336,50","348,50","336,50","0,33K","2,52%"
"19/07/2024","336,75","330,50","337,00","327,50","0,14K","1,89%"
"18/07/2024","330,50","327,50","330,75","327,00","0,17K","1,77%"
"17/07/2024","324,75","316,00","332,00","316,00","0,31K","4,09%"
"16/07/2024","312,00","317,00","322,75","310,75","0,24K","-1,81%"
"15/07/2024","317,75","320,25","321,00","311,25","0,19K","-2,83%"
"12/07/2024","327,00","327,00","327,00","327,00","","0,62%"
"11/07/2024","325,00","325,00","325,00","325,00","","4,84%"
"10/07/2024","310,00","310,00","310,00","310,00","","0,57%"
"09/07/2024","308,25","308,00","340,00","308,00","0,01K","-1,36%"
"08/07/2024","312,50","312,50","312,50","312,50","","-1,50%"
"05/07/2024","317,25","317,25","317,25","317,25","","1,93%"
"03/07/2024","311,25","311,25","311,25","311,25","","-1,03%"
"02/07/2024","314,50","313,00","313,00","313,00","0,01K","-0,47%"
"01/07/2024","316,00","316,00","316,00","316,00","","2,02%"
"28/06/2024","309,75","305,00","307,00","305,00","0,03K","1,89%"
"27/06/2024","304,00","291,00","314,75","288,50","0,48K","3,23%"
"26/06/2024","294,50","305,25","306,50","291,50","0,39K","-3,36%"
"25/06/2024","304,75","308,00","308,00","299,25","0,27K","-1,22%"
"24/06/2024","308,50","307,00","316,00","299,75","0,36K","0,49%"
"21/06/2024","307,00","320,00","324,75","300,00","0,45K","-3,84%"
