"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/11/2024","588,50","593,00","593,00","587,50","0,33K","-0,59%"
"26/11/2024","592,00","590,50","599,00","589,50","0,53K","0,94%"
"25/11/2024","586,50","591,50","595,00","585,00","0,80K","-0,76%"
"22/11/2024","591,00","596,50","597,00","591,00","0,61K","-1,17%"
"21/11/2024","598,00","608,00","608,50","597,00","0,83K","-1,97%"
"20/11/2024","610,00","618,00","619,00","609,00","0,70K","-0,81%"
"19/11/2024","615,00","608,50","620,00","604,50","0,60K","1,15%"
"18/11/2024","608,00","605,50","613,00","601,00","0,72K","6,67%"
"15/11/2024","570,00","545,50","570,00","545,50","0,00K","-3,39%"
"14/11/2024","590,00","593,00","600,00","582,00","0,09K","0,85%"
"13/11/2024","585,00","573,50","585,00","572,50","0,06K","1,83%"
"12/11/2024","574,50","568,00","576,00","566,50","0,13K","1,14%"
"11/11/2024","568,00","562,00","569,50","557,00","0,08K","1,70%"
"08/11/2024","558,50","565,00","573,00","558,00","0,22K","-1,15%"
"07/11/2024","565,00","576,00","578,00","563,50","0,27K","-1,48%"
"06/11/2024","573,50","560,00","574,00","560,00","0,20K","2,32%"
"05/11/2024","560,50","563,00","563,00","556,00","0,36K","-0,80%"
"04/11/2024","565,00","557,50","565,50","557,50","0,44K","1,25%"
"01/11/2024","558,00","549,50","559,50","549,00","0,45K","1,55%"
"31/10/2024","549,50","551,50","564,00","545,00","0,88K","-0,72%"
"30/10/2024","553,50","543,00","555,00","543,00","0,80K","1,93%"
"29/10/2024","543,00","534,00","543,00","532,50","1,20K","1,40%"
"28/10/2024","535,50","531,50","537,50","531,50","1,02K","0,75%"
"25/10/2024","531,50","529,50","534,00","527,50","1,07K","0,38%"
"24/10/2024","529,50","528,00","529,50","525,50","1,36K","0,86%"
"23/10/2024","525,00","525,00","530,00","524,50","1,12K","0,29%"
"22/10/2024","523,50","525,00","526,50","523,50","0,47K","-0,48%"
"21/10/2024","526,00","528,50","529,00","523,50","0,62K","-0,38%"
"18/10/2024","528,00","525,50","529,00","525,00","0,89K","0,76%"
"17/10/2024","524,00","522,50","526,00","516,00","1,11K","0,29%"
