"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/11/2024","5.547,50","5.174,00","5.550,00","5.174,00","","7,55%"
"26/11/2024","5.158,00","5.115,50","5.228,00","5.098,00","","0,94%"
"25/11/2024","5.110,00","4.985,00","5.327,00","4.968,00","11,85K","2,51%"
"22/11/2024","4.985,00","4.773,00","5.018,00","4.725,00","6,68K","4,14%"
"21/11/2024","4.787,00","4.845,00","4.856,00","4.763,00","5,17K","-0,23%"
"20/11/2024","4.798,00","4.686,00","4.815,00","4.674,00","4,60K","3,05%"
"19/11/2024","4.656,00","4.725,00","4.747,00","4.630,00","7,35K","-1,67%"
"18/11/2024","4.735,00","4.749,00","4.877,00","4.682,00","7,48K","-0,80%"
"15/11/2024","4.773,00","4.700,00","4.868,00","4.686,00","6,84K","-0,08%"
"14/11/2024","4.777,00","4.628,00","4.867,00","4.594,00","9,08K","3,13%"
"13/11/2024","4.632,00","4.519,00","4.646,00","4.492,00","6,73K","2,09%"
"12/11/2024","4.537,00","4.466,00","4.612,00","4.458,00","6,39K","1,36%"
"11/11/2024","4.476,00","4.343,00","4.490,00","4.341,00","5,46K","2,29%"
"08/11/2024","4.376,00","4.475,00","4.475,00","4.369,00","5,28K","-2,45%"
"07/11/2024","4.486,00","4.323,00","4.508,00","4.320,00","7,96K","4,16%"
"06/11/2024","4.307,00","4.352,00","4.359,00","4.241,00","6,20K","-1,49%"
"05/11/2024","4.372,00","4.323,00","4.400,00","4.310,00","4,40K","1,25%"
"04/11/2024","4.318,00","4.279,00","4.330,00","4.271,00","5,47K","0,91%"
"01/11/2024","4.279,00","4.380,00","4.405,00","4.259,00","7,18K","-2,06%"
"31/10/2024","4.369,00","4.429,00","4.458,00","4.357,00","4,23K","-1,89%"
"30/10/2024","4.453,00","4.400,00","4.475,00","4.340,00","6,02K","1,25%"
"29/10/2024","4.398,00","4.492,00","4.558,00","4.376,00","4,85K","-2,31%"
"28/10/2024","4.502,00","4.406,00","4.535,00","4.389,00","5,74K","2,06%"
"25/10/2024","4.411,00","4.340,00","4.426,00","4.296,00","6,98K","1,71%"
"24/10/2024","4.337,00","4.443,00","4.521,00","4.332,00","10,18K","-2,39%"
"23/10/2024","4.443,00","4.425,00","4.458,00","4.366,00","8,41K","0,41%"
"22/10/2024","4.425,00","4.512,00","4.582,00","4.395,00","10,39K","-1,73%"
"21/10/2024","4.503,00","4.564,00","4.583,00","4.450,00","7,37K","-4,21%"
"18/10/2024","4.701,00","4.652,00","4.733,00","4.651,00","","0,84%"
"17/10/2024","4.662,00","4.854,00","4.881,50","4.654,00","","-4,17%"
"16/10/2024","4.865,00","4.932,50","5.003,00","4.828,00","","-1,58%"
"15/10/2024","4.943,00","4.963,00","4.993,00","4.893,00","","-0,30%"
"14/10/2024","4.958,00","4.806,00","4.976,00","4.806,00","","2,71%"
"11/10/2024","4.827,00","4.909,00","4.964,00","4.818,50","","-1,95%"
"10/10/2024","4.923,00","4.866,00","4.947,00","4.823,50","","0,78%"
"09/10/2024","4.885,00","4.846,50","4.939,00","4.801,00","","0,80%"
"08/10/2024","4.846,00","4.898,00","4.954,00","4.822,00","","-1,12%"
"07/10/2024","4.901,00","5.038,00","5.049,00","4.860,00","","-2,87%"
"04/10/2024","5.046,00","4.933,00","5.094,00","4.877,00","","2,69%"
"03/10/2024","4.914,00","5.131,00","5.195,00","4.907,00","","-3,76%"
"02/10/2024","5.106,00","5.426,00","5.458,00","5.098,00","","-5,98%"
"01/10/2024","5.431,00","5.503,00","5.503,00","5.386,00","","-1,02%"
"30/09/2024","5.487,00","5.469,00","5.523,00","5.405,00","","-0,02%"
"27/09/2024","5.488,00","5.506,00","5.515,00","5.368,00","","-0,85%"
"26/09/2024","5.535,00","5.447,00","5.572,00","5.416,00","","1,36%"
"25/09/2024","5.461,00","5.286,00","5.465,00","5.237,00","","2,80%"
"24/09/2024","5.312,00","5.231,00","5.367,00","5.204,00","","1,01%"
"23/09/2024","5.259,00","5.038,00","5.294,00","5.038,00","","3,87%"
"20/09/2024","5.063,00","5.242,00","5.278,00","5.011,00","","-3,62%"
"19/09/2024","5.253,00","5.276,00","5.344,00","5.213,00","","-1,19%"
"18/09/2024","5.316,00","5.335,00","5.364,00","5.208,00","","0,23%"
"17/09/2024","5.304,00","5.260,00","5.350,00","5.129,00","","0,91%"
"16/09/2024","5.256,00","5.264,00","5.482,00","5.230,00","","-0,15%"
"13/09/2024","5.264,00","5.071,50","5.279,00","5.050,00","","3,70%"
"12/09/2024","5.076,00","4.999,00","5.116,00","4.999,00","","1,36%"
"11/09/2024","5.008,00","4.904,00","5.022,00","4.863,00","","1,50%"
"10/09/2024","4.934,00","4.905,00","4.984,00","4.851,00","","0,63%"
"09/09/2024","4.903,00","4.800,00","4.907,00","4.787,50","","1,91%"
"06/09/2024","4.811,00","4.893,00","4.923,00","4.752,00","","-2,41%"
"05/09/2024","4.930,00","4.879,00","4.965,00","4.872,00","","0,59%"
"04/09/2024","4.901,00","4.736,00","4.924,00","4.702,00","","3,11%"
"03/09/2024","4.753,00","4.763,00","4.875,00","4.666,00","","-3,12%"
"30/08/2024","4.906,00","4.870,00","5.182,00","4.869,00","","0,49%"
"29/08/2024","4.882,00","4.902,00","4.968,00","4.752,00","","-1,25%"
"28/08/2024","4.944,00","4.840,00","4.944,00","4.769,00","","1,85%"
"27/08/2024","4.854,00","4.774,00","4.952,00","4.732,00","","2,90%"
"23/08/2024","4.717,00","4.567,00","4.728,00","4.541,00","","3,24%"
"22/08/2024","4.569,00","4.638,00","4.649,00","4.537,00","","-1,10%"
"21/08/2024","4.620,00","4.590,00","4.657,00","4.528,00","","-0,04%"
"20/08/2024","4.622,00","4.454,00","4.658,00","4.452,00","","3,12%"
"19/08/2024","4.482,00","4.438,50","4.534,00","4.416,00","","0,76%"
"16/08/2024","4.448,00","4.358,00","4.484,00","4.346,00","","1,69%"
"15/08/2024","4.374,00","4.264,00","4.389,00","4.257,00","","1,91%"
"14/08/2024","4.292,00","4.185,50","4.317,00","4.164,00","","2,53%"
"13/08/2024","4.186,00","4.300,00","4.308,50","4.160,00","","-4,12%"
"12/08/2024","4.366,00","4.259,00","4.448,00","4.258,00","","1,04%"
"09/08/2024","4.321,00","4.459,50","4.469,00","4.318,00","","-2,79%"
"08/08/2024","4.445,00","4.471,00","4.585,00","4.414,00","","-0,80%"
"07/08/2024","4.481,00","4.362,00","4.524,00","4.355,00","","2,99%"
"06/08/2024","4.351,00","4.202,00","4.420,00","4.198,00","","4,27%"
"05/08/2024","4.173,00","4.170,00","4.187,00","4.066,00","","-1,35%"
"02/08/2024","4.230,00","4.212,00","4.243,00","4.195,00","","0,33%"
"01/08/2024","4.216,00","4.267,50","4.271,00","4.165,00","","-0,75%"
"31/07/2024","4.248,00","4.272,00","4.307,00","4.216,00","","-0,52%"
"30/07/2024","4.270,00","4.273,00","4.311,00","4.198,00","","0,23%"
