"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/11/2024","71,75","71,60","71,97","71,37","14,35K","0,10%"
"26/11/2024","71,68","71,66","71,77","71,07","21,39K","-0,06%"
"25/11/2024","71,72","70,77","71,99","70,76","28,73K","1,34%"
"22/11/2024","70,77","70,38","71,12","69,71","17,01K","0,48%"
"21/11/2024","70,43","70,40","70,89","69,90","19,62K","0,21%"
"20/11/2024","70,28","69,15","70,50","69,10","24,22K","1,49%"
"19/11/2024","69,25","69,00","69,42","68,40","29,29K","0,33%"
"18/11/2024","69,02","69,00","69,29","68,80","29,21K","0,16%"
"15/11/2024","68,91","70,57","70,65","68,83","39,81K","-2,34%"
"14/11/2024","70,56","71,10","71,86","70,50","32,87K","-0,76%"
"13/11/2024","71,10","71,07","71,23","70,22","40,33K","0,04%"
"12/11/2024","71,07","72,46","72,50","71,05","38,35K","-1,57%"
"11/11/2024","72,20","73,22","73,44","72,15","32,35K","-1,43%"
"08/11/2024","73,25","73,46","73,75","72,33","34,02K","-0,25%"
"07/11/2024","73,43","72,50","73,50","72,32","28,36K","1,87%"
"06/11/2024","72,08","72,30","72,37","71,41","21,73K","-0,33%"
"05/11/2024","72,32","72,27","72,55","71,80","12,56K","0,07%"
"04/11/2024","72,27","72,35","73,10","72,05","14,83K","-0,08%"
"01/11/2024","72,33","71,98","73,55","71,72","22,55K","0,70%"
"31/10/2024","71,83","72,33","72,39","71,61","11,74K","-0,51%"
"30/10/2024","72,20","72,75","72,95","72,07","11,05K","-0,74%"
"29/10/2024","72,74","72,55","73,23","72,21","9,33K","0,28%"
"28/10/2024","72,54","72,90","73,20","72,16","9,90K","-0,43%"
"25/10/2024","72,85","73,65","73,74","72,80","9,20K","-1,05%"
"24/10/2024","73,62","74,46","74,69","73,32","9,04K","-1,22%"
"23/10/2024","74,53","74,08","74,70","73,86","8,93K","0,66%"
"22/10/2024","74,04","74,21","74,32","73,69","10,72K","-0,11%"
"21/10/2024","74,12","73,09","74,55","73,09","11,27K","1,41%"
"18/10/2024","73,09","72,96","73,78","72,96","8,38K","0,33%"
"17/10/2024","72,85","73,34","73,54","72,25","10,37K","-0,67%"
"16/10/2024","73,34","72,72","73,98","72,72","7,78K","0,81%"
"15/10/2024","72,75","73,25","73,50","72,71","7,40K","-0,60%"
"14/10/2024","73,19","74,20","74,30","72,78","8,13K","-1,53%"
"11/10/2024","74,33","74,70","75,49","73,90","9,68K","-0,56%"
"10/10/2024","74,75","74,28","74,78","73,87","9,00K","3,46%"
"09/10/2024","72,25","72,25","72,90","72,01","17,27K","-0,03%"
"08/10/2024","72,27","73,59","73,59","71,11","29,40K","-1,71%"
"07/10/2024","73,53","73,00","74,14","72,97","15,82K","0,35%"
