"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","4,1290","4,1437","4,1595","4,1258","","-0,24%"
"27/11/2024","4,1390","4,1310","4,1740","4,1205","48,42K","1,00%"
"26/11/2024","4,0980","4,1480","4,1480","4,0950","1,62K","-1,05%"
"25/11/2024","4,1415","4,1375","4,1575","4,1365","0,67K","0,55%"
"22/11/2024","4,1190","4,1190","4,1255","4,1080","0,17K","-0,76%"
"21/11/2024","4,1505","4,1700","4,1700","4,1410","0,26K","-0,63%"
"20/11/2024","4,1770","4,1900","4,1900","4,1695","0,16K","-0,12%"
"19/11/2024","4,1820","4,1700","4,2120","4,1400","33,05K","0,40%"
"18/11/2024","4,1655","4,1100","4,1815","4,0975","26,21K","1,38%"
"15/11/2024","4,1090","4,1315","4,2240","4,1055","38,17K","-0,76%"
"14/11/2024","4,1405","4,1265","4,1520","4,0650","40,04K","0,06%"
"13/11/2024","4,1380","4,1950","4,2210","4,1200","38,64K","-1,30%"
"12/11/2024","4,1925","4,2950","4,3100","4,1830","30,07K","-2,03%"
"11/11/2024","4,2795","4,3705","4,3795","4,2725","24,82K","-1,70%"
"08/11/2024","4,3535","4,4805","4,4805","4,3405","24,42K","-2,67%"
"07/11/2024","4,4730","4,2850","4,4900","4,2835","25,62K","4,17%"
"06/11/2024","4,2940","4,5050","4,5050","4,2745","23,18K","-4,88%"
"05/11/2024","4,5145","4,4720","4,5285","4,4630","16,26K","0,92%"
"04/11/2024","4,4735","4,4050","4,4915","4,3950","12,25K","1,24%"
"01/11/2024","4,4185","4,4085","4,4480","4,3900","11,56K","0,71%"
"31/10/2024","4,3875","4,3980","4,4235","4,3740","11,12K","-0,24%"
"30/10/2024","4,3980","4,4100","4,4230","4,3735","8,89K","0,23%"
"29/10/2024","4,3880","4,3640","4,4555","4,3640","0,10K","-0,10%"
"28/10/2024","4,3925","4,3920","4,3945","4,3920","0,23K","-0,23%"
"25/10/2024","4,4025","4,3390","4,3600","4,3050","0,25K","0,39%"
"24/10/2024","4,3855","4,3675","4,3960","4,3675","0,09K","0,30%"
"23/10/2024","4,3725","4,3640","4,3685","4,3640","0,08K","-0,95%"
"22/10/2024","4,4145","4,3930","4,4350","4,3930","0,03K","0,47%"
"21/10/2024","4,3940","4,4580","4,4800","4,4580","0,04K","-0,54%"
"18/10/2024","4,4180","4,3580","4,4200","4,3580","0,13K","1,39%"
"17/10/2024","4,3575","4,3960","4,3960","4,3400","0,08K","-0,88%"
"16/10/2024","4,3960","4,4090","4,4095","4,3820","0,31K","0,63%"
"15/10/2024","4,3685","4,3685","4,3745","4,3050","0,05K","-1,51%"
"14/10/2024","4,4355","4,4655","4,4655","4,4430","0,04K","-1,83%"
"11/10/2024","4,5180","4,5230","4,5230","4,5230","0,02K","1,47%"
"10/10/2024","4,4525","4,4410","4,4460","4,4410","0,04K","0,56%"
"09/10/2024","4,4275","4,4275","4,4275","4,4275","0,03K","-1,30%"
"08/10/2024","4,4860","4,4885","4,5025","4,4845","0,07K","-2,28%"
