"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","676,75","669,62","676,75","665,12","","0,26%"
"27/11/2024","675,00","679,75","682,75","666,50","62,25K","-2,17%"
"26/11/2024","690,00","684,00","698,25","675,75","57,03K","1,62%"
"25/11/2024","679,00","699,50","700,50","677,75","51,36K","-2,69%"
"22/11/2024","697,75","696,00","704,75","689,50","59,88K","0,87%"
"21/11/2024","691,75","683,75","697,75","682,50","59,59K","1,39%"
"20/11/2024","682,25","683,75","688,25","679,25","83,05K","-0,87%"
"19/11/2024","688,25","687,25","697,00","682,75","105,74K","0,25%"
"18/11/2024","686,50","663,75","690,25","659,75","112,27K","2,31%"
"15/11/2024","671,00","670,50","673,25","659,75","91,91K","-0,45%"
"14/11/2024","674,00","669,50","680,25","665,50","157,85K","1,16%"
"13/11/2024","666,25","661,75","672,50","653,50","143,38K","1,49%"
"12/11/2024","656,50","655,75","665,00","655,50","2,80K","0,00%"
"11/11/2024","656,50","669,25","672,50","655,25","44,24K","-1,80%"
"08/11/2024","668,50","683,75","683,75","667,75","46,19K","-1,73%"
"07/11/2024","680,25","680,25","689,50","671,00","65,32K","-1,45%"
"06/11/2024","690,25","688,25","696,00","674,75","47,94K","-0,90%"
"05/11/2024","696,50","683,75","698,50","683,75","47,30K","1,90%"
"04/11/2024","683,50","677,25","689,00","675,25","47,70K","1,75%"
"01/11/2024","671,75","680,00","687,75","666,25","140,63K","0,52%"
"31/10/2024","668,25","662,00","682,00","658,00","198,88K","1,33%"
"30/10/2024","659,50","644,75","663,25","643,75","141,43K","3,45%"
"29/10/2024","637,50","646,50","649,00","634,75","114,99K","-1,20%"
"28/10/2024","645,25","655,00","655,00","640,00","102,55K","-4,65%"
"25/10/2024","676,75","665,50","678,50","660,50","99,96K","1,58%"
"24/10/2024","666,25","669,50","679,00","660,50","115,78K","-0,26%"
"23/10/2024","668,00","672,25","675,00","662,75","102,16K","-0,85%"
"22/10/2024","673,75","658,25","676,25","654,25","89,45K","2,90%"
"21/10/2024","654,75","650,00","661,75","648,50","61,06K","1,08%"
"18/10/2024","647,75","662,00","665,25","647,00","49,61K","-1,86%"
"17/10/2024","660,00","659,25","664,75","651,75","85,75K","0,72%"
"16/10/2024","655,25","663,00","665,00","651,25","82,31K","-0,34%"
"15/10/2024","657,50","670,00","671,75","655,75","107,92K","-4,85%"
"14/10/2024","691,00","704,25","704,25","667,50","111,62K","-2,33%"
"11/10/2024","707,50","709,00","711,75","698,25","64,36K","1,00%"
"10/10/2024","700,50","691,50","715,00","691,00","114,41K","1,45%"
"09/10/2024","690,50","701,50","704,00","679,50","130,78K","-0,50%"
"08/10/2024","694,00","728,50","728,75","689,75","149,72K","-4,14%"
"07/10/2024","724,00","708,00","729,75","702,75","143,99K","2,15%"
"04/10/2024","708,75","701,25","718,25","698,75","134,57K","2,87%"
"03/10/2024","689,00","669,75","703,25","667,00","126,35K","3,53%"
"02/10/2024","665,50","669,50","687,00","663,00","116,68K","-1,22%"
