"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/11/2024","988,75","984,00","994,25","983,25","119,74K","0,53%"
"26/11/2024","983,50","980,00","991,25","976,75","131,74K","-0,23%"
"25/11/2024","985,75","987,50","993,25","983,00","100,52K","0,23%"
"22/11/2024","983,50","980,75","985,25","975,25","113,88K","0,59%"
"21/11/2024","977,75","991,00","998,75","976,25","145,23K","-1,29%"
"20/11/2024","990,50","998,50","1.001,50","985,25","110,52K","-0,80%"
"19/11/2024","998,50","1.009,75","1.012,75","995,25","114,56K","-1,11%"
"18/11/2024","1.009,75","1.002,50","1.011,50","989,50","107,22K","1,13%"
"15/11/2024","998,50","988,00","1.005,25","987,25","140,15K","1,29%"
"14/11/2024","985,75","990,25","990,25","990,25","0,08K","-1,84%"
"13/11/2024","1.004,25","1.001,25","1.003,00","999,00","0,09K","0,07%"
"12/11/2024","1.003,50","1.011,75","1.011,75","998,75","0,21K","-0,82%"
"11/11/2024","1.011,75","1.020,75","1.025,75","1.011,00","0,21K","-0,49%"
"08/11/2024","1.016,75","1.015,00","1.030,00","1.006,00","0,43K","0,12%"
"07/11/2024","1.015,50","997,00","1.015,50","989,75","0,55K","2,11%"
"06/11/2024","994,50","991,75","997,50","973,00","0,39K","0,08%"
"05/11/2024","993,75","992,25","996,75","991,00","0,63K","0,66%"
"04/11/2024","987,25","990,00","995,00","982,50","1,52K","0,48%"
"01/11/2024","982,50","984,25","997,25","978,25","3,05K","0,00%"
"31/10/2024","982,50","977,50","985,50","975,50","7,82K","0,61%"
"30/10/2024","976,50","965,00","979,00","963,75","57,70K","1,17%"
"29/10/2024","965,25","974,75","980,50","965,00","82,00K","-0,90%"
"28/10/2024","974,00","984,00","985,50","973,50","109,01K","-1,39%"
"25/10/2024","987,75","996,25","996,25","984,00","143,81K","-0,85%"
"24/10/2024","996,25","997,50","1.012,25","994,25","190,68K","-0,13%"
"23/10/2024","997,50","992,00","999,75","985,00","157,96K","0,58%"
"22/10/2024","991,75","980,50","997,00","976,75","185,25K","1,10%"
"21/10/2024","981,00","970,00","983,75","969,00","184,73K","1,13%"
"18/10/2024","970,00","989,50","995,50","969,25","229,54K","-1,90%"
"17/10/2024","988,75","978,75","991,25","968,25","236,38K","0,89%"
"16/10/2024","980,00","991,00","1.001,50","978,25","247,54K","-1,11%"
"15/10/2024","991,00","995,00","996,00","981,00","239,19K","-0,50%"
"14/10/2024","996,00","1.002,00","1.008,50","995,50","165,94K","-0,94%"
"11/10/2024","1.005,50","1.014,50","1.023,75","1.004,00","213,83K","-0,91%"
"10/10/2024","1.014,75","1.019,75","1.025,50","1.011,75","158,95K","-0,54%"
"09/10/2024","1.020,25","1.015,00","1.027,25","1.011,50","185,29K","0,39%"
"08/10/2024","1.016,25","1.032,50","1.039,50","1.011,50","215,74K","-1,72%"
"07/10/2024","1.034,00","1.033,50","1.039,00","1.026,50","170,26K","-0,36%"
"04/10/2024","1.037,75","1.045,00","1.055,25","1.036,25","136,66K","-0,79%"
"03/10/2024","1.046,00","1.053,75","1.056,25","1.041,75","126,13K","-0,95%"
"02/10/2024","1.056,00","1.055,00","1.063,75","1.042,50","158,80K","-0,12%"
