"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/11/2024","55,03","53,83","55,49","53,66","61,78M","6,44%"
"26/11/2024","51,70","52,44","53,99","51,54","67,42M","-4,29%"
"25/11/2024","54,02","55,41","55,49","53,67","69,40M","-4,37%"
"22/11/2024","56,49","55,64","56,86","55,31","66,02M","1,06%"
"21/11/2024","55,90","55,41","56,51","54,41","93,96M","4,06%"
"20/11/2024","53,72","53,88","54,17","53,06","70,15M","1,94%"
"19/11/2024","52,70","52,16","53,66","51,91","80,88M","1,09%"
"18/11/2024","52,13","51,50","52,81","51,04","61,43M","0,00%"
"15/11/2024","52,13","50,84","52,17","49,92","46,94M","4,83%"
"14/11/2024","49,73","51,99","52,30","49,70","60,78M","-2,57%"
"13/11/2024","51,04","51,24","53,26","50,86","103,32M","-0,02%"
"12/11/2024","51,05","49,02","51,26","48,51","77,29M","2,99%"
"11/11/2024","49,57","46,66","49,89","46,53","96,32M","13,46%"
"08/11/2024","43,69","43,44","44,09","43,10","44,18M","0,21%"
"07/11/2024","43,60","42,71","43,84","42,47","40,67M","0,46%"
"06/11/2024","43,40","42,32","43,63","41,86","97,14M","9,85%"
"05/11/2024","39,51","39,43","40,13","39,11","36,66M","3,29%"
"04/11/2024","38,25","39,03","39,12","38,17","36,05M","-2,84%"
"01/11/2024","39,37","39,92","40,80","39,10","49,93M","-1,03%"
"31/10/2024","39,78","40,98","41,01","39,72","48,04M","-2,69%"
"30/10/2024","40,88","40,88","41,28","40,62","32,00M","-1,09%"
"29/10/2024","41,33","40,56","41,96","40,36","81,57M","4,18%"
"28/10/2024","39,67","39,25","39,84","38,95","54,65M","4,37%"
"25/10/2024","38,01","38,72","39,20","37,47","51,75M","-2,21%"
"24/10/2024","38,87","38,47","38,92","38,30","27,02M","2,80%"
"23/10/2024","37,81","37,86","38,08","37,09","25,77M","-1,56%"
"22/10/2024","38,41","38,18","38,55","37,89","23,97M","-0,41%"
"21/10/2024","38,57","38,64","38,67","38,02","28,77M","-1,28%"
"18/10/2024","39,07","38,61","39,37","38,56","39,82M","2,68%"
"17/10/2024","38,05","38,16","38,54","37,94","19,66M","-1,37%"
"16/10/2024","38,58","38,66","38,93","38,24","26,63M","1,07%"
"15/10/2024","38,17","37,53","38,74","36,88","53,54M","1,60%"
"14/10/2024","37,57","36,87","37,81","36,82","44,55M","4,54%"
"11/10/2024","35,94","34,94","36,15","34,94","33,40M","5,86%"
