"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/11/2024","240,95","242,01","243,69","240,44","19,47M","0,14%"
"26/11/2024","240,62","241,18","241,61","239,43","22,58M","-0,73%"
"25/11/2024","242,40","241,49","244,98","241,39","33,53M","1,52%"
"22/11/2024","238,77","235,64","239,24","235,33","22,69M","1,85%"
"21/11/2024","234,44","232,16","235,57","231,11","28,68M","1,52%"
"20/11/2024","230,93","230,23","230,93","228,04","24,22M","0,13%"
"19/11/2024","230,63","226,59","230,82","226,40","26,01M","0,74%"
"18/11/2024","228,93","229,22","230,60","228,13","29,40M","0,20%"
"15/11/2024","228,48","232,22","232,29","227,81","37,93M","-1,49%"
"14/11/2024","231,94","235,95","236,43","231,21","29,27M","-1,35%"
"13/11/2024","235,11","238,95","239,88","234,83","25,95M","-0,99%"
"12/11/2024","237,46","239,96","241,79","236,56","35,31M","-1,75%"
"11/11/2024","241,70","240,52","242,39","239,85","29,21M","1,50%"
"08/11/2024","238,12","235,93","238,46","235,65","26,60M","0,74%"
"07/11/2024","236,38","236,89","238,49","235,40","34,97M","-0,35%"
"06/11/2024","237,22","236,59","237,58","232,75","75,55M","5,79%"
"05/11/2024","224,23","219,34","224,29","219,06","26,40M","1,88%"
"04/11/2024","220,09","218,50","221,74","217,84","20,46M","0,51%"
"01/11/2024","218,98","219,50","220,97","218,34","21,22M","0,56%"
"31/10/2024","217,76","221,22","221,77","217,63","24,08M","-1,66%"
"30/10/2024","221,44","221,07","224,48","220,90","19,75M","-0,14%"
"29/10/2024","221,74","220,74","221,90","219,97","20,28M","-0,32%"
"28/10/2024","222,46","220,79","222,97","220,48","19,88M","1,63%"
"25/10/2024","218,89","221,31","221,97","218,52","23,81M","-0,38%"
"24/10/2024","219,72","220,43","221,04","218,52","18,38M","0,22%"
"23/10/2024","219,24","220,03","220,80","217,37","23,26M","-0,91%"
"22/10/2024","221,26","221,47","221,83","220,30","15,81M","-0,38%"
"21/10/2024","222,10","225,63","225,69","221,53","24,24M","-1,57%"
"18/10/2024","225,65","226,66","227,03","225,39","20,05M","-0,21%"
"17/10/2024","226,12","226,91","226,96","224,91","18,00M","-0,27%"
"16/10/2024","226,74","224,89","227,17","224,39","27,66M","1,65%"
"15/10/2024","223,07","222,57","225,50","221,98","26,00M","0,08%"
"14/10/2024","222,89","221,45","223,11","220,43","19,26M","0,74%"
