"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","588,90","589,60","592,90","587,70","59,14K","-0,20%"
"27/11/2024","590,10","591,70","595,20","586,70","386,61K","-0,99%"
"26/11/2024","596,00","589,30","607,70","581,30","379,59K","0,59%"
"25/11/2024","592,50","593,00","600,10","590,30","617,92K","1,63%"
"22/11/2024","583,00","579,70","585,10","570,70","412,21K","1,41%"
"21/11/2024","574,90","570,20","576,20","566,90","361,23K","-0,09%"
"20/11/2024","575,40","582,50","585,50","575,40","301,09K","-0,33%"
"19/11/2024","577,30","588,40","591,50","569,20","501,36K","-1,92%"
"18/11/2024","588,60","589,40","590,20","582,20","288,17K","0,39%"
"15/11/2024","586,30","581,00","591,50","579,70","370,43K","0,33%"
"14/11/2024","584,40","572,00","587,20","565,40","590,10K","1,81%"
"13/11/2024","574,00","571,90","578,40","569,90","550,03K","0,28%"
"12/11/2024","572,40","585,30","591,30","565,70","962,64K","-4,52%"
"11/11/2024","599,50","601,00","606,70","597,60","386,81K","0,18%"
"08/11/2024","598,40","621,50","621,80","595,40","645,63K","-3,33%"
"07/11/2024","619,00","601,70","623,60","599,00","461,21K","2,64%"
"06/11/2024","603,10","605,50","627,40","597,20","508,05K","0,08%"
"05/11/2024","602,60","610,60","610,80","599,30","310,73K","-0,68%"
"04/11/2024","606,70","611,00","618,80","606,30","239,75K","-0,70%"
"01/11/2024","611,00","610,70","614,10","608,40","263,33K","0,20%"
"31/10/2024","609,80","615,00","617,30","605,30","525,31K","-1,34%"
"30/10/2024","618,10","624,10","625,90","608,60","536,64K","-2,03%"
"29/10/2024","630,90","631,50","644,50","630,00","361,68K","-0,19%"
"28/10/2024","632,10","632,40","639,50","628,20","339,36K","0,81%"
"25/10/2024","627,00","626,60","628,80","621,50","320,11K","-0,27%"
"24/10/2024","628,70","613,20","635,60","613,20","517,02K","2,46%"
"23/10/2024","613,60","611,30","617,80","609,20","277,96K","-0,39%"
"22/10/2024","616,00","612,40","619,70","609,30","317,51K","0,82%"
"21/10/2024","611,00","620,80","625,70","609,70","343,94K","-1,96%"
"18/10/2024","623,20","615,20","630,80","615,20","593,41K","2,26%"
"17/10/2024","609,40","605,30","613,60","598,50","448,80K","1,16%"
"16/10/2024","602,40","587,90","610,50","578,80","1,14M","-3,68%"
"15/10/2024","625,40","637,70","639,00","621,70","638,85K","-1,94%"
"14/10/2024","637,80","651,60","652,20","632,30","569,99K","-2,34%"
"11/10/2024","653,10","650,00","654,80","646,10","344,99K","-0,29%"
"10/10/2024","655,00","656,40","659,30","651,00","374,14K","-0,21%"
"09/10/2024","656,40","658,70","660,90","648,40","360,69K","0,14%"
"08/10/2024","655,50","639,30","659,80","633,40","503,39K","-3,57%"
"07/10/2024","679,80","666,00","681,90","664,30","549,34K","2,70%"
"04/10/2024","661,90","658,30","669,20","656,30","468,43K","0,14%"
"03/10/2024","661,00","665,40","665,50","654,20","338,63K","-1,11%"
"02/10/2024","668,40","669,00","676,10","661,30","404,96K","0,66%"
"01/10/2024","664,00","680,00","686,10","660,40","602,35K","-3,56%"
"30/09/2024","688,50","699,40","707,80","687,60","653,73K","-2,12%"
"27/09/2024","703,40","700,00","703,40","682,50","1,04M","3,67%"
"26/09/2024","678,50","646,00","678,50","643,50","1,24M","9,88%"
"25/09/2024","617,50","614,00","620,90","611,10","356,73K","0,55%"
"24/09/2024","614,10","616,90","623,30","609,90","615,14K","3,19%"
"23/09/2024","595,10","590,00","595,10","582,10","488,04K","0,54%"
"20/09/2024","591,90","606,00","606,90","591,90","1,10M","-3,60%"
"19/09/2024","614,00","611,00","618,40","607,30","488,72K","3,04%"
"18/09/2024","595,90","608,90","609,50","595,90","674,04K","-1,94%"
"17/09/2024","607,70","608,20","611,90","603,50","519,69K","0,68%"
"16/09/2024","603,60","608,30","613,50","603,20","","-0,74%"
"13/09/2024","608,10","606,00","614,90","606,00","545,50K","0,21%"
"12/09/2024","606,80","616,70","617,50","603,00","438,72K","-0,03%"
"11/09/2024","607,00","612,40","619,30","602,40","453,88K","-0,88%"
"10/09/2024","612,40","614,00","620,80","610,60","324,13K","-0,62%"
"09/09/2024","616,20","612,00","620,20","608,50","402,86K","0,69%"
"06/09/2024","612,00","619,00","622,20","612,00","546,37K","-1,16%"
"05/09/2024","619,20","640,80","640,90","617,40","745,29K","-3,64%"
"04/09/2024","642,60","652,60","659,80","641,30","577,52K","-4,22%"
"03/09/2024","670,90","677,50","681,50","670,00","250,24K","-0,34%"
"02/09/2024","673,20","670,90","673,40","662,20","212,58K","-0,16%"
"30/08/2024","674,30","678,70","688,00","674,30","410,04K","-0,46%"
"29/08/2024","677,40","667,80","677,60","667,00","267,21K","1,68%"
"28/08/2024","666,20","672,80","674,10","665,80","282,35K","-0,54%"
"27/08/2024","669,80","683,90","686,40","668,30","293,65K","-1,79%"
"26/08/2024","682,00","681,50","686,00","680,90","144,38K","0,13%"
"23/08/2024","681,10","678,00","681,40","673,40","263,10K","0,46%"
"22/08/2024","678,00","680,90","685,60","678,00","201,64K","-0,12%"
"21/08/2024","678,80","675,00","681,50","675,00","233,34K","0,15%"
"20/08/2024","677,80","675,90","680,00","674,90","282,43K","0,49%"
"19/08/2024","674,50","660,90","676,30","660,10","372,04K","2,49%"
"16/08/2024","658,10","658,80","662,00","654,40","293,39K","0,32%"
"15/08/2024","656,00","644,30","659,40","641,10","317,10K","1,83%"
