"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"27/11/2024","33,41","32,86","34,07","32,86","28,41M","2,42%"
"26/11/2024","32,62","32,86","33,03","32,46","24,92M","-1,60%"
"25/11/2024","33,15","32,47","33,60","32,17","32,53M","-0,39%"
"22/11/2024","33,28","33,55","33,88","33,14","32,64M","-0,33%"
"21/11/2024","33,39","33,14","34,89","33,00","61,87M","-0,98%"
"20/11/2024","33,72","33,75","35,07","33,69","53,69M","0,09%"
"19/11/2024","33,69","34,92","34,99","33,56","43,26M","-1,95%"
"18/11/2024","34,36","34,76","35,06","33,91","33,38M","-2,08%"
"15/11/2024","35,09","33,82","35,48","33,78","51,86M","7,37%"
"14/11/2024","32,68","32,10","32,87","31,92","41,80M","2,09%"
"13/11/2024","32,01","31,98","32,44","31,50","46,37M","0,47%"
"12/11/2024","31,86","31,72","32,45","31,55","36,98M","0,54%"
"11/11/2024","31,69","31,41","32,23","31,37","43,33M","0,19%"
"08/11/2024","31,63","31,84","31,95","31,49","37,80M","-0,19%"
"07/11/2024","31,69","32,69","32,70","31,52","42,13M","-4,69%"
"06/11/2024","33,25","34,35","34,58","33,05","44,23M","-8,02%"
"05/11/2024","36,15","37,25","37,25","36,00","32,15M","-3,86%"
"04/11/2024","37,60","37,40","38,00","36,80","33,46M","1,08%"
"01/11/2024","37,20","37,70","37,80","36,45","43,23M","-2,11%"
"31/10/2024","38,00","36,22","38,05","36,20","42,51M","7,65%"
"30/10/2024","35,30","34,70","35,45","34,50","32,51M","2,02%"
"29/10/2024","34,60","35,47","35,90","34,25","33,31M","-2,67%"
"28/10/2024","35,55","34,88","35,60","34,85","27,41M","0,00%"
"25/10/2024","35,55","35,60","35,75","34,45","45,04M","-1,80%"
"24/10/2024","36,20","36,20","36,80","36,00","26,76M","-2,29%"
"23/10/2024","37,05","35,90","37,75","35,75","37,77M","4,81%"
"22/10/2024","35,35","36,10","36,25","35,05","24,85M","-0,42%"
"21/10/2024","35,50","35,95","36,40","35,30","26,73M","-0,42%"
"18/10/2024","35,65","35,80","35,95","35,45","21,16M","-1,79%"
"17/10/2024","36,30","35,20","36,35","35,15","26,11M","-0,14%"
"16/10/2024","36,35","36,35","37,15","36,20","21,92M","-0,14%"
"15/10/2024","36,40","34,95","36,85","34,80","36,61M","4,15%"
"14/10/2024","34,95","35,40","35,45","34,65","22,79M","-2,51%"
"11/10/2024","35,85","36,45","36,60","35,65","20,38M","-0,42%"
"10/10/2024","36,00","36,35","36,65","35,55","26,58M","0,42%"
"09/10/2024","35,85","36,75","37,00","35,70","26,89M","-2,32%"
"08/10/2024","36,70","37,85","38,00","36,50","27,78M","-4,43%"
"07/10/2024","38,40","37,65","38,70","37,35","24,45M","3,36%"
"04/10/2024","37,15","37,17","38,40","37,05","36,89M","-3,63%"
"03/10/2024","38,55","38,95","39,15","37,80","30,22M","0,52%"
"02/10/2024","38,35","38,80","39,40","37,90","30,60M","-0,65%"
"01/10/2024","38,60","37,10","39,45","37,00","43,23M","4,47%"
"30/09/2024","36,95","37,50","38,20","36,90","31,48M","-0,81%"
"27/09/2024","37,25","36,45","37,55","36,40","26,74M","1,78%"
"26/09/2024","36,60","35,67","37,45","35,60","32,13M","-2,01%"
"25/09/2024","37,35","37,70","37,75","37,00","24,83M","-2,35%"
"24/09/2024","38,25","38,47","39,50","38,00","27,18M","-1,54%"
"23/09/2024","38,85","38,85","39,15","38,55","20,59M","-0,77%"
"20/09/2024","39,15","39,10","40,10","38,80","29,74M","0,90%"
"19/09/2024","38,80","39,03","39,60","38,05","44,51M","-7,62%"
"18/09/2024","42,00","41,15","42,15","40,05","40,15M","1,45%"
"17/09/2024","41,40","40,65","42,10","40,35","27,27M","-0,24%"
"16/09/2024","41,50","41,45","42,35","41,30","23,48M","1,59%"
"13/09/2024","40,85","41,60","41,70","40,55","25,66M","-1,33%"
"12/09/2024","41,40","42,65","43,15","41,15","36,23M","-2,93%"
"11/09/2024","42,65","45,20","47,80","42,40","53,28M","-6,47%"
"10/09/2024","45,60","46,30","47,55","45,40","32,05M","-2,56%"
"09/09/2024","46,80","47,25","48,35","46,50","33,80M","-3,70%"
"06/09/2024","48,60","45,30","48,85","45,00","47,16M","8,00%"
"05/09/2024","45,00","45,60","45,90","43,70","36,24M","-0,11%"
"04/09/2024","45,05","45,65","45,95","43,95","40,57M","0,67%"
"03/09/2024","44,75","41,80","45,35","41,75","33,37M","9,15%"
"30/08/2024","41,00","41,35","42,55","40,80","30,41M","-3,19%"
"29/08/2024","42,35","41,72","42,75","40,45","39,55M","0,36%"
"28/08/2024","42,20","40,95","43,10","40,75","31,28M","3,56%"
"27/08/2024","40,75","41,60","42,10","40,50","22,57M","-0,97%"
"26/08/2024","41,15","40,10","41,65","39,85","26,50M","3,13%"
"23/08/2024","39,90","40,17","41,20","39,20","37,26M","-3,16%"
"22/08/2024","41,20","38,80","41,50","38,65","39,01M","4,83%"
"21/08/2024","39,30","39,70","40,15","38,85","25,93M","-1,63%"
"20/08/2024","39,95","39,85","40,30","39,20","28,14M","0,76%"
"19/08/2024","39,65","41,20","41,70","39,60","25,84M","-3,65%"
"16/08/2024","41,15","41,80","42,10","40,85","24,17M","-0,36%"
