"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"28/11/2024","3.295,70","3.308,28","3.319,26","3.290,36","51,20B","-0,43%"
"27/11/2024","3.309,78","3.250,59","3.309,88","3.227,36","51,12B","1,53%"
"26/11/2024","3.259,76","3.256,86","3.285,33","3.252,87","47,22B","-0,12%"
"25/11/2024","3.263,76","3.274,88","3.285,46","3.232,92","53,89B","-0,11%"
"22/11/2024","3.267,19","3.368,04","3.372,00","3.267,19","63,07B","-3,06%"
"21/11/2024","3.370,40","3.362,94","3.378,52","3.348,86","53,03B","0,07%"
"20/11/2024","3.367,99","3.337,68","3.375,25","3.333,00","56,62B","0,66%"
"19/11/2024","3.346,01","3.324,88","3.346,76","3.284,13","62,50B","0,67%"
"18/11/2024","3.323,85","3.344,69","3.386,90","3.309,01","74,40B","-0,21%"
"15/11/2024","3.330,73","3.369,81","3.391,32","3.330,73","63,03B","-1,45%"
"14/11/2024","3.379,84","3.429,51","3.441,77","3.376,15","63,16B","-1,73%"
"13/11/2024","3.439,28","3.406,92","3.442,30","3.404,53","67,37B","0,51%"
"12/11/2024","3.421,97","3.469,89","3.489,42","3.402,04","81,79B","-1,39%"
"11/11/2024","3.470,07","3.432,37","3.471,12","3.416,73","81,80B","0,51%"
"08/11/2024","3.452,30","3.502,13","3.509,82","3.443,19","96,40B","-0,53%"
"07/11/2024","3.470,66","3.359,99","3.470,66","3.356,26","95,96B","2,57%"
"06/11/2024","3.383,81","3.395,22","3.421,00","3.367,08","89,59B","-0,09%"
"05/11/2024","3.386,99","3.306,81","3.386,99","3.302,05","82,11B","2,32%"
"04/11/2024","3.310,21","3.275,68","3.310,21","3.263,84","66,51B","1,17%"
"01/11/2024","3.272,01","3.275,58","3.305,32","3.258,73","85,21B","-0,24%"
"31/10/2024","3.279,82","3.267,98","3.295,74","3.252,39","78,46B","0,42%"
"30/10/2024","3.266,24","3.273,64","3.291,68","3.244,81","66,90B","-0,61%"
"29/10/2024","3.286,41","3.328,09","3.340,46","3.284,21","72,53B","-1,08%"
"28/10/2024","3.322,20","3.300,46","3.322,20","3.279,72","67,24B","0,68%"
"25/10/2024","3.299,70","3.280,76","3.319,36","3.276,13","59,57B","0,59%"
"24/10/2024","3.280,26","3.287,82","3.292,94","3.266,88","51,98B","-0,68%"
"23/10/2024","3.302,80","3.285,25","3.331,08","3.277,07","65,04B","0,52%"
"22/10/2024","3.285,87","3.263,82","3.294,96","3.255,14","57,49B","0,54%"
"21/10/2024","3.268,11","3.276,06","3.300,66","3.239,10","66,82B","0,20%"
