"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"21/02/2024","16,60","16,64","16,75","16,53","348,79K","-1,03%"
"20/02/2024","16,77","16,64","16,82","16,64","15,35K","0,06%"
"16/02/2024","16,76","16,54","16,81","16,54","6,01K","-0,18%"
"15/02/2024","16,79","16,68","16,88","16,68","7,76K","0,60%"
"14/02/2024","16,69","16,73","16,73","16,45","9,04K","-0,65%"
"13/02/2024","16,80","16,67","16,95","16,67","3,19K","-1,98%"
"12/02/2024","17,14","17,23","17,29","17,10","2,34K","-0,46%"
"09/02/2024","17,22","17,48","17,48","17,12","4,64K","-0,12%"
"08/02/2024","17,24","17,25","17,30","17,11","13,09K","-0,06%"
"07/02/2024","17,25","17,60","17,86","17,25","7,19K","-3,04%"
"06/02/2024","17,79","17,34","17,79","17,28","2,47K","4,66%"
"05/02/2024","17,00","17,12","17,18","16,81","3,46K","-1,90%"
"02/02/2024","17,33","17,78","17,86","17,14","9,53K","-2,69%"
"01/02/2024","17,81","17,27","17,94","17,27","9,12K","4,45%"
"31/01/2024","17,05","17,29","17,52","17,05","7,11K","-2,37%"
"30/01/2024","17,46","17,72","17,72","17,41","3,62K","-1,42%"
"29/01/2024","17,71","17,33","17,75","17,27","2,59K","2,27%"
"26/01/2024","17,32","17,37","17,40","17,28","2,23K","1,29%"
"25/01/2024","17,10","16,75","17,19","16,75","9,11K","0,63%"
"24/01/2024","16,99","17,31","17,38","16,83","2,20K","-1,58%"
"23/01/2024","17,26","17,19","17,35","17,16","7,77K","0,45%"
"22/01/2024","17,19","16,87","17,26","16,87","7,47K","1,34%"
"19/01/2024","16,96","16,71","16,96","16,55","2,51K","1,41%"
"18/01/2024","16,72","17,13","17,13","16,72","2,03K","-1,99%"
"17/01/2024","17,06","17,05","17,22","17,05","1,31K","-1,72%"
"16/01/2024","17,36","17,20","17,60","17,07","4,68K","2,70%"
"12/01/2024","16,91","16,77","17,00","16,76","5,08K","0,45%"
"11/01/2024","16,83","16,83","16,83","16,69","2,31K","-0,08%"
"10/01/2024","16,85","17,22","17,22","16,73","2,72K","-0,72%"
"09/01/2024","16,97","17,27","17,27","16,95","3,53K","-3,07%"
"08/01/2024","17,51","17,13","17,59","17,13","4,31K","2,25%"
"05/01/2024","17,12","17,04","17,12","16,96","6,66K","0,71%"
"04/01/2024","17,00","16,94","17,06","16,94","1,24K","0,30%"
"03/01/2024","16,95","16,94","17,13","16,80","2,17K","-1,52%"
"02/01/2024","17,21","17,25","17,30","17,00","6,03K","1,95%"
"29/12/2023","16,88","17,15","17,44","16,88","3,43K","-2,09%"
"28/12/2023","17,24","17,00","17,50","17,00","14,23K","0,65%"
"27/12/2023","17,13","17,05","17,42","17,05","4,61K","-0,81%"
"26/12/2023","17,27","17,00","17,35","16,90","4,90K","0,12%"
"22/12/2023","17,25","17,01","17,45","17,01","5,09K","1,11%"
"21/12/2023","17,06","17,04","17,16","16,97","3,04K","0,30%"
"20/12/2023","17,01","17,26","17,50","16,94","3,05K","-1,71%"
"19/12/2023","17,31","17,05","17,42","17,05","13,88K","2,38%"
"18/12/2023","16,90","16,88","17,06","16,88","5,85K","-1,89%"
"15/12/2023","17,23","17,36","17,37","17,23","3,59K","-1,08%"
"14/12/2023","17,42","16,95","17,67","16,95","6,59K","2,63%"
"13/12/2023","16,97","16,42","16,97","16,27","3,53K","2,29%"
"12/12/2023","16,59","17,08","17,13","16,59","2,34K","-3,34%"
"11/12/2023","17,16","17,06","17,30","17,06","4,18K","-1,77%"
"08/12/2023","17,47","16,87","17,50","16,87","4,08K","1,23%"
"07/12/2023","17,26","17,11","17,29","17,09","3,53K","0,64%"
"06/12/2023","17,15","17,12","17,37","17,10","4,14K","0,63%"
"05/12/2023","17,04","17,33","17,33","16,91","6,28K","-3,22%"
"04/12/2023","17,61","16,56","17,61","16,56","9,52K","3,62%"
"01/12/2023","17,00","16,37","17,00","16,37","2,56K","3,38%"
"30/11/2023","16,44","16,75","16,75","16,26","11,17K","-0,25%"
"29/11/2023","16,48","16,25","16,53","16,25","3,31K","1,78%"
"28/11/2023","16,19","16,22","16,27","16,19","2,16K","-0,29%"
"27/11/2023","16,24","16,39","16,39","16,24","0,84K","-2,20%"
"24/11/2023","16,60","16,43","16,60","16,43","0,57K","2,00%"
"22/11/2023","16,28","16,23","16,28","16,23","2,87K","1,24%"
"21/11/2023","16,08","16,32","16,32","16,05","1,13K","-1,96%"
"20/11/2023","16,40","16,23","16,49","16,23","7,19K","1,89%"
"17/11/2023","16,10","15,74","16,10","15,74","1,55K","1,34%"
"16/11/2023","15,88","16,14","16,14","15,88","1,45K","-2,92%"
"15/11/2023","16,36","15,97","16,65","15,97","2,07K","0,81%"
"14/11/2023","16,23","15,91","16,23","15,89","9,21K","4,92%"
"13/11/2023","15,47","15,55","15,61","15,43","4,65K","-1,15%"
"10/11/2023","15,65","15,41","15,65","15,28","5,29K","1,72%"
"09/11/2023","15,38","16,00","16,08","15,38","4,37K","-3,91%"
"08/11/2023","16,01","16,54","16,54","16,01","2,92K","-1,82%"
"07/11/2023","16,31","16,34","16,53","16,31","5,33K","-0,91%"
"06/11/2023","16,45","16,95","16,95","16,45","9,66K","-1,10%"
"03/11/2023","16,64","15,73","16,71","15,73","6,20K","3,43%"
"02/11/2023","16,09","15,93","16,18","15,93","10,16K","4,25%"
"01/11/2023","15,43","15,47","15,48","15,38","1,91K","0,39%"
"31/10/2023","15,37","14,90","15,37","14,90","2,25K","1,68%"
"30/10/2023","15,12","15,20","15,25","14,91","12,85K","-0,44%"
"27/10/2023","15,18","15,39","15,39","15,18","9,62K","-1,59%"
"26/10/2023","15,43","15,73","15,74","15,27","12,45K","-1,87%"
"25/10/2023","15,72","15,93","15,93","15,72","1,51K","-3,41%"
"24/10/2023","16,27","15,91","16,29","15,91","1,27K","4,46%"
"23/10/2023","15,58","15,61","15,90","15,58","10,29K","-1,51%"
"20/10/2023","15,82","16,01","16,08","15,79","16,19K","-1,32%"
"19/10/2023","16,03","16,60","16,60","16,03","7,96K","-2,81%"
"18/10/2023","16,49","17,18","17,18","16,49","6,16K","-4,37%"
"17/10/2023","17,25","17,18","17,41","17,18","5,51K","0,22%"
"16/10/2023","17,21","17,04","17,22","17,04","1,78K","2,32%"
"13/10/2023","16,82","16,73","17,07","16,73","8,23K","0,26%"
"12/10/2023","16,78","17,08","17,49","16,75","11,63K","-2,91%"
"11/10/2023","17,28","17,82","17,82","17,14","3,73K","2,86%"
"10/10/2023","16,80","16,84","17,57","16,66","12,54K","-0,70%"
"09/10/2023","16,92","17,19","17,19","16,73","1,80K","-2,24%"
"06/10/2023","17,31","16,85","17,44","16,85","6,33K","-0,08%"
"05/10/2023","17,32","17,19","17,35","17,19","2,25K","-1,69%"
"04/10/2023","17,62","17,02","17,62","17,02","2,53K","1,99%"
"03/10/2023","17,27","17,70","17,70","17,20","3,09K","-2,55%"
"02/10/2023","17,73","18,44","18,44","17,65","6,20K","-4,29%"
"29/09/2023","18,52","18,82","18,82","18,48","4,17K","-0,05%"
"28/09/2023","18,53","18,55","18,69","18,31","7,72K","-2,14%"
"27/09/2023","18,93","19,45","19,75","18,60","14,90K","-1,21%"
"26/09/2023","19,17","19,77","20,00","19,09","3,69K","-2,31%"
"25/09/2023","19,62","19,07","20,00","18,76","6,15K","1,95%"
"22/09/2023","19,25","19,40","19,49","19,19","2,84K","-0,48%"
"21/09/2023","19,34","19,94","19,94","19,34","4,31K","-5,16%"
"20/09/2023","20,39","20,54","20,54","20,39","1,76K","-1,20%"
"19/09/2023","20,64","20,69","20,80","20,64","1,98K","-2,27%"
"18/09/2023","21,12","21,86","21,86","21,12","2,03K","-3,18%"
"15/09/2023","21,81","22,25","22,99","20,89","23,72K","2,54%"
"14/09/2023","21,27","20,97","21,57","20,97","3,30K","2,73%"
"13/09/2023","20,71","20,29","21,30","20,24","7,07K","-1,54%"
"12/09/2023","21,03","22,65","23,22","20,88","27,64K","-4,23%"
"11/09/2023","21,96","20,25","21,99","20,25","14,83K","8,57%"
"08/09/2023","20,23","19,77","20,24","19,77","2,80K","2,12%"
